learner,csl_variant,metric,deterministic_in_model_seed,training_seed_std,training_seed_std_is_exact_zero_by_construction,split_std,total_std
decision_tree,instance_weighted,pr_auc,False,6.06997024581544e-05,False,0.014115132127425845,0.012625072889401553
decision_tree,instance_weighted,ner,False,4.5831188543215254e-06,False,0.01089015646697047,0.00974045235675269
decision_tree,rus,pr_auc,False,0.041677815930616514,False,0.028667468487075135,0.03870806246230719
decision_tree,rus,ner,False,0.005312531072549309,False,0.007951360424845769,0.007830142381622204
decision_tree,unweighted,pr_auc,False,0.0002449242063549829,False,0.01580555767723849,0.014138777544403857
decision_tree,unweighted,ner,False,1.5765224680610756e-06,False,0.018074695909881172,0.016166499505458985
decision_tree,weighted,pr_auc,False,5.200640905450503e-05,False,0.016511761434542884,0.01476864838222701
decision_tree,weighted,ner,False,3.086422658403884e-06,False,0.010580161297411851,0.009463184442209071
logistic_regression,instance_weighted,pr_auc,True,0.0,True,0.014968839470189925,0.014968839470189928
logistic_regression,instance_weighted,ner,True,0.0,True,0.012156460617980978,0.012156460617980971
logistic_regression,rus,pr_auc,False,0.020582665434645268,False,0.014081399665650054,0.020390524788751575
logistic_regression,rus,ner,False,0.003164838457262176,False,0.014216972058782716,0.012880281919608208
logistic_regression,unweighted,pr_auc,True,0.0,True,0.014271354747330559,0.014271354747330569
logistic_regression,unweighted,ner,True,0.0,True,0.014722931354249314,0.014722931354249312
logistic_regression,weighted,pr_auc,True,0.0,True,0.0072762529862844035,0.007276252986284404
logistic_regression,weighted,ner,True,0.0,True,0.012356033992632166,0.012356033992632177
random_forest,instance_weighted,pr_auc,False,0.0011935524295854723,False,0.014889033404233361,0.013336550482723497
random_forest,instance_weighted,ner,False,0.004065726298161831,False,0.00951040100067875,0.009039724292542966
random_forest,rus,pr_auc,False,0.009516929787798492,False,0.011660764811571203,0.011646658537484401
random_forest,rus,ner,False,0.0015115752224310046,False,0.010327747525425627,0.009328337841303295
random_forest,unweighted,pr_auc,False,0.0016766293253926748,False,0.014055057622483453,0.012610772150007872
random_forest,unweighted,ner,False,0.0021193478263407876,False,0.009426635674372442,0.008547348010990035
random_forest,weighted,pr_auc,False,0.0027204387533662847,False,0.01597319393986555,0.014481269695478617
random_forest,weighted,ner,False,0.0039779406154884355,False,0.010976423020355185,0.009868199192131479
xgboost,instance_weighted,pr_auc,False,0.0013494599110078398,False,0.012208852928456469,0.010933789909268637
xgboost,instance_weighted,ner,False,0.0031774209010641337,False,0.012118748599455016,0.01102790250541024
xgboost,rus,pr_auc,False,0.005485443815885113,False,0.009619553479507352,0.00965226916807771
xgboost,rus,ner,False,0.003204222386903219,False,0.010639589920692385,0.009845857662446906
xgboost,unweighted,pr_auc,False,0.0013134692296808052,False,0.011637663114890371,0.010432536719174311
xgboost,unweighted,ner,False,0.0023938395040684997,False,0.010056062559046758,0.009148382879777593
xgboost,weighted,pr_auc,False,0.0013942410167875937,False,0.013495830823945761,0.012131105380068325
xgboost,weighted,ner,False,0.00254906135572617,False,0.0128638543688736,0.011679868899961478
