learner,config,variant,level,threshold_rule,split,seed,split_strategy,with_velocity,cost_ratio_name,feature_set,fit_seconds,n_train,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000
xgboost,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_train_ratio,no_origin_balance_temporal_no_velocity,140.5777767999998,4433703,0.6916045006820152,0.9770836984738296,0.0034688891661699118,0.0007594733615405858,3451,26642,559,925092,0.11467783205396603,0.8605985037406484,0.2023868867841539,0.3081859358165316,30093,0.03148646499481032,1219.3971924029727,0.14485000009034837,708285.0305532617,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24663341645885287,0.989,0.7009975062344139,0.5622
xgboost,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_test_ratio,no_origin_balance_temporal_no_velocity,140.5777767999998,4433703,0.6916045006820152,0.9770836984738296,0.0034688891661699118,0.0075339446775615215,3267,4321,743,947413,0.43054823405376913,0.814713216957606,0.5633729953440249,0.5900709424659201,7588,0.007939364516021027,237.34014962593517,0.18982691715549704,180664.7311720699,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24663341645885287,0.989,0.7009975062344139,0.5622
logistic_regression,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_default,no_origin_balance_temporal_velocity,13.450389399999949,4433703,0.626425203283764,0.9553177262216968,0.002386798616557303,0.005758165381848812,2877,20838,1133,930896,0.12131562302340292,0.7174563591022444,0.20753832281334536,0.2890275824638235,23715,0.024813129875782637,773.7010836478753,0.2892600703276834,897441.3277730427,0.02493765586034913,1.0,0.12468827930174564,1.0,0.2491271820448878,0.999,0.6234413965087282,0.5
logistic_regression,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_train_ratio,no_origin_balance_temporal_velocity,13.450389399999949,4433703,0.626425203283764,0.9553177262216968,0.002386798616557303,0.0012710138689726591,3427,91568,583,860166,0.03607558292541713,0.8546134663341646,0.06922882682692794,0.16384781150972766,94995,0.09939377071684467,1219.3971924029727,0.16411292803550387,802476.563170933,0.02493765586034913,1.0,0.12468827930174564,1.0,0.2491271820448878,0.999,0.6234413965087282,0.5
logistic_regression,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_test_ratio,no_origin_balance_temporal_velocity,13.450389399999949,4433703,0.626425203283764,0.9553177262216968,0.002386798616557303,0.012778390198946,2647,5063,1363,946671,0.34332036316472114,0.6600997506234414,0.4517064846416382,0.47313625707163837,7710,0.008067013761007132,237.34014962593517,0.3452200130920504,328557.6239401497,0.02493765586034913,1.0,0.12468827930174564,1.0,0.2491271820448878,0.999,0.6234413965087282,0.5
decision_tree,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_default,no_origin_balance_temporal_velocity,94.54461950000041,4433703,0.7421317781601926,0.9679446319393493,0.0014322686343750043,0.0018951358506456017,3275,5776,735,945958,0.3618384708871948,0.816708229426434,0.5014929944108414,0.5410093506724678,9051,0.009470109150567516,773.7010836478753,0.18515347017944297,574446.2964811883,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7598503740648379,0.6094
decision_tree,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_train_ratio,no_origin_balance_temporal_velocity,94.54461950000041,4433703,0.7421317781601926,0.9679446319393493,0.0014322686343750043,0.0018951358506456017,3275,5776,735,945958,0.3618384708871948,0.816708229426434,0.5014929944108414,0.5410093506724678,9051,0.009470109150567516,1219.3971924029727,0.18447300914904233,902032.9364161848,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7598503740648379,0.6094
decision_tree,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_test_ratio,no_origin_balance_temporal_velocity,94.54461950000041,4433703,0.7421317781601926,0.9679446319393493,0.0014322686343750043,0.0018951358506456017,3275,5776,735,945958,0.3618384708871948,0.816708229426434,0.5014929944108414,0.5410093506724678,9051,0.009470109150567516,237.34014962593517,0.18936069319270124,180221.00997506242,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7598503740648379,0.6094
random_forest,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_default,no_origin_balance_temporal_velocity,189.56325229999948,4433703,0.7703528084449939,0.9728633925863747,0.001649211561071216,0.010186255909502506,3366,22811,644,928923,0.12858616342590823,0.8394014962593517,0.2230099049259615,0.32293738956733276,26177,0.027389133491813707,773.7010836478753,0.1679508634549243,521074.4978692316,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7618453865336658,0.611
random_forest,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_train_ratio,no_origin_balance_temporal_velocity,189.56325229999948,4433703,0.7703528084449939,0.9728633925863747,0.001649211561071216,0.004426250699907541,3497,51914,513,899820,0.063110212773637,0.872069825436409,0.11770249575066054,0.22611554393991512,55411,0.05797682224528744,1219.3971924029727,0.13854700617842336,677464.7597027249,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7618453865336658,0.611
random_forest,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_test_ratio,no_origin_balance_temporal_velocity,189.56325229999948,4433703,0.7703528084449939,0.9728633925863747,0.001649211561071216,0.02243070863187313,3288,14242,722,937492,0.18756417569880204,0.8199501246882793,0.3052924791086351,0.38777188465386814,17530,0.01834173167710182,237.34014962593517,0.19501414053708827,185601.58802992525,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7618453865336658,0.611
xgboost,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_default,no_origin_balance_temporal_velocity,177.7448675000005,4433703,0.6867654735975293,0.9759343741904625,0.0027438679345675463,0.001187206944450736,3415,20842,595,930892,0.1407841035577359,0.8516209476309227,0.24162450914493933,0.3410009791464424,24257,0.02538022734121271,773.7010836478753,0.15509677106466008,481194.14477048576,0.02493765586034913,1.0,0.11496259351620948,0.922,0.22768079800498753,0.913,0.7521197007481297,0.6032
xgboost,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_train_ratio,no_origin_balance_temporal_velocity,177.7448675000005,4433703,0.6867654735975293,0.9759343741904625,0.0027438679345675463,0.0006409690831787884,3482,39512,528,912222,0.08098804484346653,0.8683291770573566,0.14815760360820357,0.257844353483045,42994,0.04498484949944755,1219.3971924029727,0.1397513455524453,683353.7175887695,0.02493765586034913,1.0,0.11496259351620948,0.922,0.22768079800498753,0.913,0.7521197007481297,0.6032
xgboost,C,unweighted,decision,ner_optimal,test,42,temporal,True,R_test_ratio,no_origin_balance_temporal_velocity,177.7448675000005,4433703,0.6867654735975293,0.9759343741904625,0.0027438679345675463,0.015080991201102734,3222,5408,788,946326,0.3733487833140209,0.8034912718204489,0.5098101265822785,0.5451580007916028,8630,0.009029614624836776,237.34014962593517,0.20219098813874137,192432.03790523697,0.02493765586034913,1.0,0.11496259351620948,0.922,0.22768079800498753,0.913,0.7521197007481297,0.6032
