learner,csl_variant,level,n_cells,n_rows,prevalence_mean,negative_retention,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,ner_mean,ner_std,ner_min,ner_max,alert_rate_mean
decision_tree,unweighted,natural,4,16,0.0012908714849422,1.0,0.7512827453158213,0.014138777544403859,0.7297426212657875,0.7674627863245576,0.1486628551210534,0.060785852630882084,0.0469928108013326,0.1893358278765201,0.8301542207792207,0.02410317974332944,0.1790960702938236,0.016166499505459026,0.1526775218578796,0.1930515133807156,0.010310338287960701
decision_tree,unweighted,prev_0.2581pct,4,1600,0.0025784145680423,0.5,0.7680129021755145,0.011835747532640665,0.7471664535387395,0.7845847356102501,0.2540699947463475,0.09512179096780776,0.0879698014114557,0.3292127521145088,0.8301542207792209,0.023345099918118044,0.1744696802647188,0.019488029873850742,0.1410577116620969,0.1907844124568183,0.01136480432721583
decision_tree,unweighted,prev_1.2765pct,4,1600,0.012760492190413,0.0999997901720798,0.8030275365987484,0.004656598656776141,0.7938069233944512,0.8114694393546343,0.600705582648827,0.15669687188303555,0.3188578227245687,0.728581713462923,0.8301542207792209,0.023345099918118044,0.17077119256025086,0.02257047926614279,0.1320228791046681,0.1888530229145254,0.019729603409702895
decision_tree,unweighted,prev_10pct,4,1600,0.1,0.011632859891602797,0.8466413765527296,0.021132536439983998,0.8276733763339112,0.8858499531195166,0.9151658375749981,0.06171795000540695,0.7819110138584975,0.970873786407767,0.8301542207792209,0.023345099918118044,0.16995341864956498,0.0232550003084774,0.1300935877585103,0.1883893215686843,0.09134349634740255
decision_tree,unweighted,prev_11.32pct,4,1600,0.11445559271646219,0.0100003986730482,0.8505144868080682,0.02227272112079198,0.8311957394232198,0.891778080511246,0.9258247210928626,0.05487974094413989,0.8017950635751683,0.9765625,0.8301542207792209,0.023345099918118044,0.16993816345229074,0.023267779479047353,0.1300589675222823,0.1883830269802792,0.10319682506503154
decision_tree,unweighted,prev_1pct,4,1600,0.01,0.1279614588076318,0.7980352235503306,0.005456355097833364,0.7901624625770983,0.8085333160186975,0.5465910800831949,0.1553859329355462,0.2683354192740926,0.6697551290536069,0.8301542207792209,0.023345099918118044,0.1710289651350471,0.02235526121955792,0.1326523379451764,0.1889841601729646,0.0174558644480519
decision_tree,unweighted,prev_50pct,4,1600,0.5,0.0012925399879558,0.9254568949669415,0.021951116803480872,0.9090963945668172,0.966938405579164,0.9891588154163148,0.009134100214470442,0.9597135183527306,1.0,0.8301542207792209,0.023345099918118044,0.16985789695914527,0.02333505432987722,0.129884817243075,0.1883284738807685,0.4197648640422078
decision_tree,weighted,natural,4,16,0.0012908714849422,1.0,0.7360495649689398,0.014768648382226978,0.7113265927524011,0.7453480598658605,0.03008357469869945,0.0059462273581944785,0.024014224453509,0.0364798295832778,0.9121347402597403,0.018002897872714006,0.12750798739780783,0.009463184442209047,0.1171285376197416,0.1407735886209447,0.040770570120935316
decision_tree,weighted,prev_0.2581pct,4,1600,0.0025784145680423,0.5,0.776456900736052,0.014471916292978806,0.7464358790144482,0.7939999741306203,0.05835472965786723,0.010866181227697965,0.0463763432172578,0.0714658320292123,0.9121347402597402,0.01743668072551693,0.10768603082862561,0.01326010525408727,0.0922428823602469,0.1258008610013879,0.04189275668514665
decision_tree,weighted,prev_1.2765pct,4,1600,0.012760492190413,0.0999997901720798,0.8508652370529635,0.012815058320339629,0.823853254367578,0.8675693941813254,0.23528003223746105,0.03593907199974814,0.1912058627581612,0.2850455136540962,0.9121347402597402,0.01743668072551693,0.09183116188645063,0.016595540048246094,0.0729027594856302,0.1135746721225822,0.05079387325475406
decision_tree,weighted,prev_10pct,4,1600,0.1,0.011632859891602797,0.9302213682281811,0.006527559098631646,0.91331801322562,0.9400047198197564,0.7215865789652625,0.04063847432973388,0.6511627906976745,0.799416484318016,0.9121347402597402,0.01743668072551693,0.08832701500918555,0.017339696238701695,0.0686832870580897,0.1107987586359407,0.12693952922077917
decision_tree,weighted,prev_11.32pct,4,1600,0.11445559271646219,0.0100003986730482,0.934955826802414,0.006044441075856637,0.9206972612055438,0.9441817600327476,0.7506994318431629,0.037997910622980684,0.6821152703505645,0.825923134890731,0.9121347402597402,0.01743668072551693,0.08826225418547792,0.01735333226225686,0.0686108992914313,0.1107410582422275,0.13955453363062056
decision_tree,weighted,prev_1pct,4,1600,0.01,0.1279614588076318,0.8405945218767341,0.013262316662119505,0.8128261714373256,0.8577914642774778,0.19408877618319753,0.031152310829025438,0.1570021881838074,0.236614853195164,0.9121347402597402,0.01743668072551693,0.09293945859085534,0.016362257591587027,0.0742592432869255,0.114433883439876,0.04838047889610385
decision_tree,weighted,prev_50pct,4,1600,0.5,0.0012925399879558,0.9817482536729781,0.0016088578256962078,0.9771748695954064,0.985500314241395,0.9586589840413379,0.009543435208514365,0.9310624493106244,0.982078853046595,0.9121347402597402,0.01743668072551693,0.08791640654948246,0.017426022044132114,0.0682185366141811,0.1104483598813911,0.4758535409902597
logistic_regression,unweighted,natural,4,4,0.0012908714849422,1.0,0.523583968243547,0.014271354747330572,0.5039687570139619,0.5345349621036724,0.014138074551141026,0.0023218497260475103,0.0115192464758106,0.017164281783159,0.8498376623376623,0.029653482161948595,0.22865139640693252,0.014722931354249328,0.2162729915161712,0.249886823101208,0.0794878739807668
logistic_regression,unweighted,prev_0.2581pct,4,400,0.0025784145680423,0.5,0.573754424563927,0.012452833848503124,0.5505213643476305,0.5899585948814006,0.02787380899378439,0.0039181711227583085,0.0225887638579778,0.0341161590264246,0.8498376623376623,0.025712830013731203,0.18940965501274948,0.01915163509600488,0.1670031498734535,0.2202403608113358,0.08048657633844199
logistic_regression,unweighted,prev_1.2765pct,4,400,0.012760492190413,0.0999997901720798,0.6958266091052827,0.012161139540574717,0.6732965860270446,0.7155702918361724,0.12516753049624926,0.01596137552411039,0.1021444695259593,0.1529736358062538,0.8498376623376623,0.025712830013731203,0.15801484456591386,0.024385428274469302,0.1280417458421263,0.1961163507488562,0.08837062911712305
logistic_regression,unweighted,prev_10pct,4,400,0.1,0.011632859891602797,0.8550375771244988,0.008316956225923235,0.8373170800625609,0.8682345594416774,0.5491081056827462,0.036653631756560195,0.4820239680426098,0.6233603997501561,0.8498376623376623,0.025712830013731203,0.1510770462674029,0.02555815071527668,0.11957552443729,0.1906872682494723,0.1557548701298701
logistic_regression,unweighted,prev_11.32pct,4,400,0.11445559271646219,0.0100003986730482,0.8651957549427272,0.00794151738481766,0.8476697172689671,0.8770835167224167,0.5861686927702388,0.03596239137888199,0.5176358436606292,0.6653333333333333,0.8498376623376623,0.025712830013731203,0.15094816456980883,0.025580057559376868,0.1194192088252305,0.1905897021291935,0.166857116313638
