learner,R_decision,csl_lower_ner,margin,R_train
decision_tree,1.0,False,-0.1233766233766233,773.7010836478753
decision_tree,10.0,True,0.007305194805194815,773.7010836478753
decision_tree,50.0,True,0.02584415584415581,773.7010836478753
decision_tree,100.0,True,0.02182629870129868,773.7010836478753
decision_tree,500.0,True,0.00462499999999999,773.7010836478753
decision_tree,773.7010836478753,True,0.011903933236934922,773.7010836478753
decision_tree,1000.0,True,0.020021915584415517,773.7010836478753
decision_tree,2000.0,True,0.0408766233766234,773.7010836478753
decision_tree,5000.0,True,0.0006811688311687963,773.7010836478753
logistic_regression,1.0,False,-0.23944805194805197,773.7010836478753
logistic_regression,10.0,False,-0.010633116883116855,773.7010836478753
logistic_regression,50.0,True,0.04845779220779217,773.7010836478753
logistic_regression,100.0,True,0.04283279220779229,773.7010836478753
logistic_regression,500.0,True,0.035508116883116864,773.7010836478753
logistic_regression,773.7010836478753,True,0.03726496097843651,773.7010836478753
logistic_regression,1000.0,True,0.028292207792207702,773.7010836478753
logistic_regression,2000.0,True,0.01642735389610389,773.7010836478753
logistic_regression,5000.0,True,0.024439610389610407,773.7010836478753
random_forest,1.0,False,-0.034090909090909116,773.7010836478753
random_forest,10.0,False,-0.02646103896103902,773.7010836478753
random_forest,50.0,False,-0.04542207792207789,773.7010836478753
random_forest,100.0,False,-0.04629870129870131,773.7010836478753
random_forest,500.0,False,-0.012318181818181784,773.7010836478753
random_forest,773.7010836478753,False,-0.007555992089580299,773.7010836478753
random_forest,1000.0,False,-0.011949675324675307,773.7010836478753
random_forest,2000.0,True,0.005971590909090899,773.7010836478753
random_forest,5000.0,False,-0.0006365259740259005,773.7010836478753
xgboost,1.0,False,-0.04301948051948051,773.7010836478753
xgboost,10.0,False,-0.014529220779220808,773.7010836478753
xgboost,50.0,False,-0.018490259740259724,773.7010836478753
xgboost,100.0,False,-0.01190746753246752,773.7010836478753
xgboost,500.0,False,-0.0008198051948052065,773.7010836478753
xgboost,773.7010836478753,False,-0.004118131827924393,773.7010836478753
xgboost,1000.0,False,-0.007298701298701291,773.7010836478753
xgboost,2000.0,False,-0.004064123376623388,773.7010836478753
xgboost,5000.0,True,0.0027655844155844017,773.7010836478753
