learner,csl_variant,config,arm,split_seed,model_seed,baseline_model_seed,exact_seed_match,matched_by_determinism,same_test_observations,baseline_pr_auc,csl_pr_auc,delta_pr_auc,baseline_ner,csl_ner,delta_ner,R_train_baseline,R_train_csl,R_eval
decision_tree,rus,G,core_class_constant,42,123,123,True,False,True,0.7297426212657876,0.2740269250396951,-0.4557156962260925,0.15267752185787967,0.1342567853292221,-0.018420736528657555,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,42,42,42,True,False,True,0.7297426212657876,0.19354490422864157,-0.536197717037146,0.15267752185787967,0.1460747781079285,-0.006602743749951179,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,42,456,456,True,False,True,0.7297814974740391,0.2705240319715807,-0.4592574655024584,0.15267752185787967,0.14490252502211173,-0.007774996835767933,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,42,789,789,True,False,True,0.7297426212657876,0.26624486781863643,-0.46349775344715116,0.15267752185787967,0.14802758289303336,-0.004649938964846306,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,456,123,123,True,False,True,0.7511873139577037,0.26614505020371365,-0.48504226375399,0.19305046428264805,0.1335615355344989,-0.05948892874814915,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,456,42,42,True,False,True,0.7511850498051984,0.2395107397222715,-0.5116743100829269,0.19305151338071555,0.13195348483773112,-0.061098028542984434,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,456,456,456,True,False,True,0.7507019534840034,0.2657576806920043,-0.4849442727919991,0.19305151338071555,0.1363408871708525,-0.05671062620986306,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,456,789,789,True,False,True,0.7511850498051984,0.17759737162290906,-0.5735876781822893,0.19305151338071555,0.14429244607453012,-0.04875906730618543,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,789,123,123,True,False,True,0.7571897155189382,0.2809157731146192,-0.47627394240431903,0.18753125630129452,0.12745630364633795,-0.060074952654956576,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,789,42,42,True,False,True,0.7571897155189382,0.22913149885106254,-0.5280582166678757,0.18753125630129452,0.11894538156900245,-0.06858587473229208,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,789,456,456,True,False,True,0.7571744114532092,0.18991066852251645,-0.5672637429306927,0.18753545269356456,0.13069644871211875,-0.05683900398144581,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,789,789,789,True,False,True,0.7572455594467772,0.21392415243672175,-0.5433214070100554,0.18753545269356456,0.12871156653691157,-0.05882388615665299,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,123,123,123,True,False,True,0.7674547839989712,0.7453063365774166,-0.02214844742155453,0.18312346508637087,0.1269087941439901,-0.05621467094238078,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,123,42,42,True,False,True,0.7660834404692739,0.7452896104696469,-0.020793829999626978,0.1831245141844384,0.12692348151693528,-0.05620103266750312,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,123,456,456,True,False,True,0.7674547839989712,0.7452949336791446,-0.02215985031982659,0.18312346508637087,0.12691613783046268,-0.056207327255908185,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,123,789,789,True,False,True,0.7674627863245576,0.7453022369433211,-0.02216054938123646,0.1831171704979658,0.12691299053626015,-0.05620417996170565,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,42,123,123,True,False,True,0.7297426212657876,0.7153773031503265,-0.014365318115461045,0.15267752185787967,0.14267822047825163,-0.00999930137962804,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,42,42,42,True,False,True,0.7297426212657876,0.7153634575239174,-0.014379163741870205,0.15267752185787967,0.14268871145892675,-0.009988810398952913,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,42,456,456,True,False,True,0.7297814974740391,0.7153783667075635,-0.014403130766475591,0.15267752185787967,0.1426771713801841,-0.010000350477695569,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,42,789,789,True,False,True,0.7297426212657876,0.7153645174833139,-0.014378103782473728,0.15267752185787967,0.14268766236085925,-0.009989859497020415,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,456,123,123,True,False,True,0.7511873139577037,0.7407649749988063,-0.010422338958897326,0.19305046428264805,0.139273583656602,-0.05377688062604605,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,456,42,42,True,False,True,0.7511850498051984,0.7407782126831213,-0.010406837122077128,0.19305151338071555,0.13926414177399438,-0.053787371606721174,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,456,456,456,True,False,True,0.7507019534840034,0.7412179526584879,-0.009484000825515482,0.19305151338071555,0.13927043636239947,-0.05378107701831608,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,456,789,789,True,False,True,0.7511850498051984,0.7407662360148295,-0.010418813790368908,0.19305151338071555,0.1392725345585345,-0.05377897882218105,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,789,123,123,True,False,True,0.7571897155189382,0.7438996558400253,-0.013290059678912947,0.18753125630129452,0.11923305108023208,-0.06829820522106245,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,789,42,42,True,False,True,0.7571897155189382,0.7438939831627351,-0.013295732356203072,0.18753125630129452,0.11923619837443462,-0.0682950579268599,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,789,456,456,True,False,True,0.7571744114532092,0.7438992766236028,-0.013275134829606405,0.18753545269356456,0.11923305108023208,-0.06830240161333248,1.0,773.7010836478753,773.7010836478753
decision_tree,instance_weighted,F,sensitivity,789,789,789,True,False,True,0.7572455594467772,0.7438939831627351,-0.013351576284042044,0.18753545269356456,0.11923619837443462,-0.06829925431912993,1.0,773.7010836478753,773.7010836478753
logistic_regression,weighted,E,core_class_constant,123,42,42,True,False,True,0.5337812107525854,0.16571591116483708,-0.36806529958774836,0.21627299151617116,0.19588336002963677,-0.020389631486534388,1.0,773.7010836478753,773.7010836478753
logistic_regression,weighted,E,core_class_constant,42,42,42,True,False,True,0.5039687570139619,0.1487063069716073,-0.3552624500423546,0.24988682310120794,0.21300636224877972,-0.036880460852428215,1.0,773.7010836478753,773.7010836478753
logistic_regression,weighted,E,core_class_constant,456,42,42,True,False,True,0.5220509431039683,0.16089051436541674,-0.36116042873855153,0.22608063291054048,0.18840883852263945,-0.037671794387901025,1.0,773.7010836478753,773.7010836478753
logistic_regression,weighted,E,core_class_constant,789,42,42,True,False,True,0.5345349621036724,0.15581895031268325,-0.3787160117909891,0.22236513809981048,0.1854378897472769,-0.03692724835253358,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,123,123,42,False,True,True,0.5337812107525854,0.1686398448290381,-0.36514136592354735,0.21627299151617116,0.19717869391897785,-0.019094297597193305,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,123,42,42,True,False,True,0.5337812107525854,0.12660529136657592,-0.4071759193860095,0.21627299151617116,0.1946774274852941,-0.021595564030877062,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,123,456,42,False,True,True,0.5337812107525854,0.1625880559479581,-0.37119315480462733,0.21627299151617116,0.19502804288057457,-0.02124494863559659,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,123,789,42,False,True,True,0.5337812107525854,0.13222545726527335,-0.4015557534873121,0.21627299151617116,0.19558804460789606,-0.020684946908275104,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,42,123,42,False,True,True,0.5039687570139619,0.16958010913929222,-0.3343886478746697,0.24988682310120794,0.2201505261848756,-0.02973629691633234,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,42,42,42,True,False,True,0.5039687570139619,0.11761523436739944,-0.3863535226465625,0.24988682310120794,0.21262186212277145,-0.037264960978436484,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,42,456,42,False,True,True,0.5039687570139619,0.15653403112749217,-0.34743472588646973,0.24988682310120794,0.221434719171349,-0.028452103929858946,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,42,789,42,False,True,True,0.5039687570139619,0.12696302155876987,-0.37700573545519206,0.24988682310120794,0.21261138251062522,-0.037275440590582715,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,456,123,42,False,True,True,0.5220509431039683,0.10486034241062642,-0.41719060069334185,0.22608063291054048,0.18584777349910747,-0.04023285941143301,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,456,42,42,True,False,True,0.5220509431039683,0.1085859811223861,-0.41346496198158217,0.22608063291054048,0.18410888776793888,-0.0419717451426016,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,456,456,42,False,True,True,0.5220509431039683,0.1508358645095375,-0.37121507859443076,0.22608063291054048,0.18626742409464186,-0.039813208815898615,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,456,789,42,False,True,True,0.5220509431039683,0.15305061053618924,-0.36900033256777903,0.22608063291054048,0.19360514093992962,-0.032475491970610865,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,789,123,42,False,True,True,0.5345349621036724,0.13988277265527027,-0.3946521894484021,0.22236513809981048,0.18612703885726806,-0.036238099242542426,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,789,42,42,True,False,True,0.5345349621036724,0.12703319800925553,-0.40750176409441685,0.22236513809981048,0.18838344352828829,-0.0339816945715222,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,789,456,42,False,True,True,0.5345349621036724,0.15229424974238243,-0.3822407123612899,0.22236513809981048,0.18911151758714287,-0.033253620512667614,1.0,773.7010836478753,773.7010836478753
logistic_regression,rus,G,core_class_constant,789,789,42,False,True,True,0.5345349621036724,0.14428572235953857,-0.3902492397441338,0.22236513809981048,0.18333665463841223,-0.039028483461398256,1.0,773.7010836478753,773.7010836478753
logistic_regression,instance_weighted,F,sensitivity,123,42,42,True,False,True,0.5337812107525854,0.2719303192269845,-0.2618508915256009,0.21627299151617116,0.21171545276096845,-0.004557538755202706,1.0,773.7010836478753,773.7010836478753
logistic_regression,instance_weighted,F,sensitivity,42,42,42,True,False,True,0.5039687570139619,0.2392930851475499,-0.26467567186641205,0.24988682310120794,0.22799410220237804,-0.021892720898829904,1.0,773.7010836478753,773.7010836478753
logistic_regression,instance_weighted,F,sensitivity,456,42,42,True,False,True,0.5220509431039683,0.2674716298373284,-0.25457931326663985,0.22608063291054048,0.2199783430443801,-0.006102289866160376,1.0,773.7010836478753,773.7010836478753
logistic_regression,instance_weighted,F,sensitivity,789,42,42,True,False,True,0.5345349621036724,0.2673822588733718,-0.26715270323030055,0.22236513809981048,0.19953812684134528,-0.022827011258465202,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,123,123,123,True,False,True,0.8270090245568442,0.787039498853958,-0.039969525702886255,0.10986123003387163,0.1240721185527404,0.014210888518868772,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,123,42,42,True,False,True,0.8283846305647891,0.7884614067650181,-0.03992322379977098,0.11067290697703101,0.13225217556293412,0.021579268585903102,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,123,456,456,True,False,True,0.8264158770557622,0.7836183341761481,-0.042797542879614126,0.1110388482989203,0.1328499334521572,0.021811085153236903,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,123,789,789,True,False,True,0.8280678255017108,0.7872525291113277,-0.04081529639038306,0.1096049365128309,0.12783186938597899,0.018226932873148083,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,42,123,123,True,False,True,0.7993036154324304,0.7543450675820219,-0.04495854785040854,0.12504391969288337,0.14806430132539633,0.023020381632512965,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,42,42,42,True,False,True,0.7967497221433496,0.746743451938522,-0.05000627020482762,0.13235457662914663,0.14681061776618845,0.014456041137041825,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,42,456,456,True,False,True,0.7949283079988327,0.7497554939061769,-0.04517281409265583,0.12677755993371437,0.15270999842385688,0.025932438490142512,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,42,789,789,True,False,True,0.7946899724099898,0.743144141522048,-0.051545830887941846,0.12493396966799634,0.14435268931436904,0.019418719646372692,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,456,123,123,True,False,True,0.8166914233191555,0.7756890629916643,-0.04100236032749116,0.1195501809206597,0.1390320858288719,0.019481904908212194,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,456,42,42,True,False,True,0.8167331044455801,0.7720827964235308,-0.04465030802204928,0.11408993907181778,0.1441461025783764,0.030056163506558625,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,456,456,456,True,False,True,0.818425560312881,0.7763820317570478,-0.042043528555833265,0.11898670693803937,0.13887145413564794,0.019884747197608577,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,456,789,789,True,False,True,0.820746555323804,0.7745950497702909,-0.046151505553513106,0.11648996185772197,0.14586035155775182,0.02937038970002985,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,789,123,123,True,False,True,0.8262754227918255,0.7734860069331649,-0.05278941585866059,0.10355194288731476,0.13233910827658557,0.028787165389270813,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,789,42,42,True,False,True,0.824819523851171,0.7710857316780422,-0.05373379217312879,0.1060345308279852,0.12267292395471546,0.016638393126730266,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,789,456,456,True,False,True,0.8220793385528772,0.7684044221874352,-0.05367491636544197,0.10722514881424791,0.1224860989153904,0.015260950101142493,1.0,773.7010836478753,773.7010836478753
random_forest,weighted,E,core_class_constant,789,789,789,True,False,True,0.8240651548913299,0.7697078918671916,-0.05435726302413835,0.10752889112611544,0.12798756918143273,0.020458678055317286,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,123,123,123,True,False,True,0.8270090245568442,0.7399300181578845,-0.08707900639895971,0.10986123003387163,0.12162793669616412,0.011766706662292487,1.0,773.7010836478753,773.7010836478753
