R,learner,variant,ner,recall,n_flagged,threshold
50.0,logistic_regression,instance_weighted,0.39170454545454547,0.663961038961039,4247,0.8704836368560791
50.0,logistic_regression,rus,0.4010551948051948,0.6996753246753247,7067,0.8537518978118896
50.0,decision_tree,unweighted,0.27146103896103896,0.7459415584415584,1991,0.029302077367901802
50.0,decision_tree,weighted,0.24983766233766233,0.7946428571428571,3719,0.933255672454834
50.0,decision_tree,instance_weighted,0.24561688311688312,0.788961038961039,3102,0.9400255680084229
50.0,decision_tree,rus,0.3131818181818182,0.7589285714285714,5377,0.9599999785423279
50.0,random_forest,unweighted,0.2061038961038961,0.8189935064935064,2555,0.025100503116846085
50.0,random_forest,weighted,0.2674188311688312,0.7451298701298701,1691,0.5165370106697083
50.0,random_forest,instance_weighted,0.25152597402597404,0.7727272727272727,2446,0.3941257894039154
50.0,random_forest,rus,0.27823051948051947,0.7751623376623377,4244,0.8502987027168274
50.0,xgboost,unweighted,0.196737012987013,0.8238636363636364,2284,0.020149338990449905
50.0,xgboost,weighted,0.21522727272727274,0.8027597402597403,2097,0.8821700811386108
50.0,xgboost,instance_weighted,0.21681818181818183,0.8068181818181818,2450,0.8018990755081177
50.0,xgboost,rus,0.2531818181818182,0.8092532467532467,4843,0.9669417142868042
100.0,logistic_regression,unweighted,0.3833279220779221,0.6891233766233766,9775,0.011436643078923225
100.0,logistic_regression,weighted,0.3418019480519481,0.7159090909090909,7992,0.8246356248855591
100.0,logistic_regression,instance_weighted,0.34049512987012986,0.713474025974026,7528,0.801304280757904
100.0,logistic_regression,rus,0.34849025974025977,0.7118506493506493,8311,0.8354166150093079
100.0,decision_tree,unweighted,0.24864448051948052,0.7881493506493507,5504,0.014609982259571552
100.0,decision_tree,weighted,0.2268181818181818,0.8011363636363636,4431,0.9217970371246338
100.0,decision_tree,instance_weighted,0.22966720779220778,0.799512987012987,4580,0.8567380905151367
100.0,decision_tree,rus,0.27712662337662336,0.7589285714285714,5377,0.9599999785423279
100.0,random_forest,unweighted,0.19329545454545455,0.8262987012987013,3432,0.01550962682813406
100.0,random_forest,weighted,0.2505357142857143,0.762987012987013,2606,0.4626705050468445
100.0,random_forest,instance_weighted,0.23959415584415583,0.7840909090909091,3884,0.34995532035827637
100.0,random_forest,rus,0.24871753246753248,0.7987012987012987,6826,0.8113543391227722
