experiment_id,cell_id,learner,csl_variant,split_seed,model_seed,feature_set,R_train,R_eval,R_level,R_ratio_to_class,log2_distance_from_class_ratio,config,threshold_rule,threshold_selected_on,threshold_r_dependent,threshold,threshold_gap_b_minus_c,thresholds_identical,val_class_ratio,val_n_positive,val_n_negative,test_tp,test_fp,test_fn,test_tn,test_n_flagged,test_alert_rate,test_precision,test_recall,test_total_risk,test_ner,test_ner_closed_form,test_ner_abs_error,val_tp,val_fp,val_fn,val_tn,val_n_flagged,val_alert_rate,val_precision,val_recall,val_total_risk,val_ner,val_ner_closed_form,val_ner_abs_error
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,12.089079431998051,R_x0.015625,0.01562565137041168,-5.999939858606356,B,youden,val,False,0.015106117352843285,-0.024893881753087044,False,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,6998.597475039571,0.46990176552773816,0.46990176552773816,0.0,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,7259.557222543528,0.48742319700327663,0.48742319700327663,0.0
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,12.089079431998051,R_x0.015625,0.01562565137041168,-5.999939858606356,C,ner_optimal,val,True,0.03999999910593033,-0.024893881753087044,False,773.6688311688312,1232,953160,959,699,273,952463,1658,0.001737228021131734,0.5784077201447527,0.7784090909090909,3999.318684935468,0.26852336023920603,0.26852336023920603,0.0,935,680,297,952480,1615,0.0016921767994702386,0.5789473684210527,0.7589285714285714,4270.456591303421,0.2867281764696287,0.2867281764696287,0.0
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,48.356317727992206,R_x0.0625,0.06250260548164673,-3.999939858606356,B,youden,val,False,0.015106117352843285,-0.01123855821788311,False,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,14977.389900158285,0.25140401281050595,0.25140401281050595,0.0,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,16036.228890174114,0.2691772278222477,0.26917722782224773,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,48.356317727992206,R_x0.0625,0.06250260548164673,-3.999939858606356,C,ner_optimal,val,True,0.026344675570726395,-0.01123855821788311,False,773.6688311688312,1232,953160,966,968,266,952194,1934,0.002026416762888283,0.49948293691830403,0.7840909090909091,13830.780515645927,0.23215752177874446,0.23215752177874452,5.551115123125783e-17,943,916,289,952244,1859,0.0019478369475016556,0.5072619688004303,0.765422077922078,14890.975823389748,0.24995350335540417,0.2499535033554042,2.7755575615628914e-17
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,193.42527091196882,R_x0.25,0.2500104219265869,-1.999939858606356,B,youden,val,False,0.015106117352843285,0.0,True,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,46892.55960063314,0.19677957463119788,0.1967795746311979,2.7755575615628914e-17,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,51142.915560696456,0.21461573552699045,0.2146157355269905,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,193.42527091196882,R_x0.25,0.2500104219265869,-1.999939858606356,C,ner_optimal,val,True,0.015106117352843285,0.0,True,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,46892.55960063314,0.19677957463119788,0.1967795746311979,2.7755575615628914e-17,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,51142.915560696456,0.21461573552699045,0.2146157355269905,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,773.6688311688312,val_class_ratio,1.0,0.0,B,youden,val,False,0.015106117352843285,0.0,True,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,174546.14285714287,0.1831236548503324,0.18312365485033244,2.7755575615628914e-17,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,191561.85714285713,0.2009755519984652,0.20097555199846523,2.7755575615628914e-17
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,773.6688311688312,val_class_ratio,1.0,0.0,C,ner_optimal,val,True,0.015106117352843285,0.0,True,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,174546.14285714287,0.1831236548503324,0.18312365485033244,2.7755575615628914e-17,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,191561.85714285713,0.2009755519984652,0.20097555199846523,2.7755575615628914e-17
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,773.7010836478753,R_x1,1.0000416877063476,6.014139364405448e-05,B,youden,val,False,0.015106117352843285,0.0,True,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,174553.23840253256,0.18312346508637087,0.1831234650863709,2.7755575615628914e-17,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,191569.66224278582,0.20097536245317615,0.2009753624531762,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,no_origin_balance,1.0,773.7010836478753,R_x1,1.0000416877063476,6.014139364405448e-05,C,ner_optimal,val,True,0.015106117352843285,0.0,True,773.6688311688312,1232,953160,1012,4339,220,948823,5351,0.005606699120069909,0.18912352831246496,0.8214285714285714,174553.23840253256,0.18312346508637087,0.1831234650863709,2.7755575615628914e-17,990,4334,242,948826,5324,0.005578420607046161,0.1859504132231405,0.8035714285714286,191569.66224278582,0.20097536245317615,0.2009753624531762,5.551115123125783e-17
