feature,drop,std,is_velocity
amount,0.7230707877054918,0.002295626527670367,False
destZeroAfter,0.7082025305641683,0.003900028645705199,False
type_PAYMENT,0.5742267776901183,0.010966326143471442,False
type_TRANSFER,0.5374076284948958,0.009067169317665645,False
newbalanceDest,0.4085341976549392,0.014418200617478687,False
type_CASH_OUT,0.37657984850664344,0.014953910963125818,False
oldbalanceDest,0.2605984935818313,0.016728583013842266,False
hour,0.198685616294561,0.01586042454110113,False
day,0.1403668756044767,0.01033114365890597,False
log_amount,0.09587066511130711,0.006209301637090908,False
type_CASH_IN,0.04997503885661816,0.003450722973988183,False
vel_dest_unique_senders,0.012797270946726402,0.005077256948570555,True
destZeroBefore,0.008616329869566152,0.0015047323943882117,False
vel_dest_prior_count,0.006153444805115526,0.0007203381646775894,True
vel_dest_prior_count_24h,0.0007224396105399045,0.0008621449594760137,True
vel_orig_prior_count_24h,0.0,0.0,True
vel_dest_is_first_seen,0.0,0.0,True
vel_orig_is_first_seen,0.0,0.0,True
type_DEBIT,0.0,0.0,False
vel_orig_unique_recipients,0.0,0.0,True
vel_orig_prior_count,-4.402503742628738e-06,9.190545219910806e-06,True
vel_orig_steps_since_last,-7.530259803312234e-06,1.2627844780442361e-05,True
highRiskFlag,-1.2864328071793274e-05,0.0003316285485581721,False
vel_dest_steps_since_last,-0.0019178644656567157,0.000978240347175655,True
