learner,reference,R_train,n_pairs,delta_pr_auc_mean,delta_pr_auc_median,delta_pr_auc_std,delta_pr_auc_min,delta_pr_auc_max,delta_pr_auc_range,delta_pr_auc_n_negative,delta_pr_auc_all_same_sign,delta_ner_mean,delta_ner_median,delta_ner_std,delta_ner_min,delta_ner_max,delta_ner_range,delta_ner_n_negative,delta_ner_all_same_sign
random_forest,default,10.0,16,0.0408261530491019,0.03967518817487575,0.0067112279463855205,0.031350521405522414,0.05277228190536187,0.02142176049983946,0,True,-0.02586949536838873,-0.025864161532446514,0.004873059499719832,-0.033965005954278524,-0.018404253183615743,0.01556075277066278,16,True
random_forest,default,50.0,16,0.03757381177553613,0.03583952272131102,0.005779161615567111,0.02612787628955382,0.04860548087005878,0.022477604580504962,0,True,-0.02552842766925683,-0.026057055833378757,0.004428096813740415,-0.03257702647389983,-0.014741601083607517,0.017835425390292314,16,True
random_forest,default,100.0,16,0.031935281681169714,0.031077775750420755,0.005601869156728618,0.024731769048881524,0.04122524128489902,0.016493472236017492,0,True,-0.024177144474963688,-0.023648839850871926,0.004536762831397962,-0.03281853567015895,-0.015054255044784443,0.01776428062537451,16,True
random_forest,default,2000.0,16,-0.02031516371188455,-0.020370012923590197,0.004265540953077386,-0.02632469018094863,-0.014012499337085593,0.012312190843863036,16,True,0.016578829731307546,0.016604648139492778,0.006152389634183394,0.008531362436858675,0.028322557371314422,0.019791194934455747,0,True
random_forest,default,5000.0,16,-0.04699641410785704,-0.048126543593514814,0.005118187911915219,-0.055068908578315146,-0.035398236576992925,0.01967067200132222,16,True,0.044146733670644644,0.04445241742228111,0.005769260509650855,0.03595004792757195,0.05475600871920898,0.01880596079163703,0,True
xgboost,default,1.0,16,0.017907354070092092,0.017935595249269187,0.002487882588425631,0.012989688364681506,0.02223445207517205,0.009244763710490544,0,True,-0.011038717436294879,-0.010446604963734944,0.003746038497603034,-0.017932375693965386,-0.005933938047646706,0.01199843764631868,16,True
xgboost,default,10.0,16,0.018696247964268276,0.01852232722166086,0.002238465857845955,0.015513598874212331,0.023147693787505697,0.0076340949132933655,0,True,-0.008147143059226706,-0.00792598437598488,0.004290635729527998,-0.017946424513246934,-0.0007854722285292881,0.017160952284717645,16,True
xgboost,default,50.0,16,0.01246831558539277,0.012523348725571759,0.0022786280312210075,0.008453717187074772,0.01584890018222529,0.007395182995150518,0,True,-0.007048315094381655,-0.006410422473970917,0.00304157620958922,-0.012541990134185138,-0.001606819063556142,0.010935171070628996,16,True
xgboost,default,100.0,16,0.00962008970264961,0.009805321320582594,0.002255117852948634,0.003662027682112323,0.013307366979814272,0.00964533929770195,0,True,-0.006905080779117946,-0.0056334570346115095,0.005009523077854556,-0.022289918522013813,-0.0002923733997400174,0.021997545122273796,16,True
xgboost,default,2000.0,16,-0.0060079478744066925,-0.005731091059523408,0.001822236301915222,-0.00884009504922656,-0.002724175827272801,0.006115919221953758,16,True,0.0053685455219856645,0.0055766860500715415,0.003768029602227675,-0.001175833661480996,0.013013154855393283,0.014188988516874279,1,False
