learner,csl_variant,config,deterministic_in_model_seed,n_cells,n_split_seeds,n_model_seeds,pr_auc_mean,pr_auc_median,pr_auc_std,pr_auc_min,pr_auc_max,pr_auc_range,ner_mean,ner_median,ner_std,ner_min,ner_max,ner_range
decision_tree,instance_weighted,F,False,16,4,4,0.7363619398549371,0.7425559679106115,0.012625072889401553,0.7153634575239174,0.7453063365774166,0.02994287905349924,0.13202577281042085,0.13309381164546483,0.00974045235675269,0.11923305108023208,0.14268871145892675,0.023455660378694676
decision_tree,rus,G,False,16,4,4,0.23601778372215867,0.23432111928666702,0.03870806246230719,0.17759737162290906,0.29456830928311145,0.11697093766020239,0.13536919778398745,0.1341410054205166,0.007830142381622204,0.11894538156900245,0.14802758289303336,0.029082201324030915
decision_tree,unweighted,C,False,16,4,4,0.7512827453158214,0.7541808627054565,0.014138777544403857,0.7297426212657876,0.7674627863245576,0.03772016505876996,0.1790960702938236,0.18532788524286647,0.016166499505458985,0.15267752185787967,0.19305151338071555,0.040373991522835884
decision_tree,weighted,E,False,16,4,4,0.7360495649689398,0.743905081544439,0.01476864838222701,0.7113265927524011,0.7453480598658605,0.034021467113459436,0.12750798739780786,0.1260723864990036,0.009463184442209071,0.11712853761974158,0.14077358862094477,0.02364505100120319
logistic_regression,instance_weighted,F,True,4,4,1,0.26151932327130867,0.2674269443553501,0.014968839470189928,0.2392930851475499,0.2719303192269845,0.03263723407943461,0.214806506212268,0.21584689790267428,0.012156460617980971,0.19953812684134528,0.22799410220237804,0.028455975361032754
logistic_regression,rus,G,False,16,4,4,0.14009873668418657,0.14208424750740442,0.020390524788751575,0.10486034241062642,0.16958010913929222,0.0647197667286658,0.1966299112371933,0.19414128421261184,0.012880281919608208,0.18333665463841223,0.221434719171349,0.038098064532936765
logistic_regression,unweighted,C,True,4,4,1,0.523583968243547,0.5279160769282769,0.014271354747330569,0.5039687570139619,0.5345349621036724,0.03056620508971042,0.22865139640693252,0.2242228855051755,0.014722931354249312,0.21627299151617116,0.24988682310120794,0.03361383158503678
logistic_regression,weighted,E,True,4,4,1,0.1577829207036361,0.15835473233905,0.007276252986284404,0.1487063069716073,0.16571591116483708,0.017009604193229777,0.1956841126370832,0.19214609927613813,0.012356033992632177,0.1854378897472769,0.21300636224877972,0.027568472501502822
random_forest,instance_weighted,F,False,16,4,4,0.7776355901534291,0.7821549580097891,0.013336550482723497,0.7547537636331109,0.7923325320070788,0.0375787683739679,0.1318167988589927,0.1321160238252197,0.009039724292542966,0.11466044314834334,0.14354182209148847,0.02888137894314513
random_forest,rus,G,False,16,4,4,0.7524541113267147,0.7532320624163011,0.011646658537484401,0.7290642696601829,0.7758171764951006,0.04675290683491773,0.12514584869370615,0.1217199808409273,0.009328337841303295,0.11459738894392708,0.14090745126065377,0.02631006231672668
random_forest,unweighted,C,False,16,4,4,0.8165865661970209,0.8214129469383407,0.012610772150007872,0.7946899724099898,0.8283846305647891,0.03369465815479922,0.11523407813689354,0.11256439368536904,0.008547348010990035,0.10355194288731476,0.13235457662914663,0.028802633741831868
random_forest,weighted,E,False,16,4,4,0.7701120573414744,0.7727844016783478,0.014481269695478617,0.743144141522048,0.7884614067650181,0.045317265242970084,0.1363962123882746,0.1358606937939026,0.009868199192131479,0.1224860989153904,0.15270999842385688,0.030223899508466476
xgboost,instance_weighted,F,False,16,4,4,0.814831396828945,0.8183895016763247,0.010933789909268637,0.7966123564389672,0.8258746273761903,0.02926227093722311,0.12878372053021064,0.12685528445828242,0.01102790250541024,0.11586902685917705,0.15017521769465733,0.03430619083548028
xgboost,rus,G,False,16,4,4,0.7600241103834913,0.7595265992339889,0.00965226916807771,0.7416676282329409,0.7767879582810124,0.03512033004807158,0.11988682873693267,0.11482972705849205,0.009845857662446906,0.10979103741518471,0.14147324008013998,0.031682202664955264
xgboost,unweighted,C,False,16,4,4,0.8337255267198109,0.8383325089664309,0.010432536719174311,0.815903493251223,0.843971650147884,0.02806815689666098,0.11712002323026292,0.11365940400399771,0.009148382879777593,0.10758594159763614,0.1340449985770076,0.026459056979371467
xgboost,weighted,E,False,16,4,4,0.8158181726497189,0.8205315119630883,0.012131105380068325,0.793669041176051,0.8283351647239205,0.034666123547869576,0.1281587406665578,0.12433373446135924,0.011679868899961478,0.11517106305171301,0.1493712949823744,0.03420023193066138
