learner,arm_a,arm_b,fold_drop
logistic_regression,0.9663130536916945,0.031393067364290386,30.781097064470853
decision_tree,0.9915458636894845,0.09747673161599915,10.172128745510165
random_forest,0.9978757169455309,0.24257292646861137,4.113714302221005
xgboost,0.9995118898623279,0.40351261147890793,2.477027635391697
