learner,csl_variant,split_seed,model_seed,level,negative_retention,precision_expected,precision_observed,abs_error
decision_tree,unweighted,456,123,natural,1.0,0.18125793003443902,0.181257930034439,2.7755575615628914e-17
decision_tree,unweighted,456,123,prev_0.2581pct,0.5,0.3068896731624981,0.3065959005062778,0.0002937726562203258
decision_tree,unweighted,456,123,prev_1.2765pct,0.0999997901720798,0.68884800777373,0.6902688654190489,0.0014208576453188515
decision_tree,unweighted,456,123,prev_10pct,0.0116328598916028,0.9500775769467531,0.9510249419266988,0.0009473649799457418
decision_tree,unweighted,456,123,prev_11.32pct,0.0100003986730482,0.9567805017593118,0.9577703508415155,0.0009898490822036754
decision_tree,unweighted,456,123,prev_1pct,0.1279614588076318,0.6337127946560187,0.6344989598352856,0.0007861651792668845
decision_tree,unweighted,456,123,prev_50pct,0.0012925399879558,0.9941954859672749,0.9947029216910012,0.0005074357237262461
decision_tree,unweighted,456,456,natural,1.0,0.1812250815512867,0.1812250815512867,0.0
decision_tree,unweighted,456,456,prev_0.2581pct,0.5,0.3068425897514575,0.30697796477614653,0.00013537502468902174
decision_tree,unweighted,456,456,prev_1.2765pct,0.0999997901720798,0.6888005599839392,0.6897100309646629,0.0009094709807236923
decision_tree,unweighted,456,456,prev_10pct,0.0116328598916028,0.9500670766920416,0.9494823731881985,0.0005847035038430981
decision_tree,unweighted,456,456,prev_11.32pct,0.0100003986730482,0.956771347192662,0.9560544316648029,0.0007169155278591299
decision_tree,unweighted,456,456,prev_1pct,0.1279614588076318,0.6336614105366475,0.6342093414623446,0.0005479309256971598
decision_tree,unweighted,456,456,prev_50pct,0.0012925399879558,0.994194208390513,0.993925131076939,0.00026907731357395104
decision_tree,unweighted,456,789,natural,1.0,0.1812250815512867,0.1812250815512867,0.0
decision_tree,unweighted,456,789,prev_0.2581pct,0.5,0.3068425897514575,0.30719917120828905,0.0003565814568315395
decision_tree,unweighted,456,789,prev_1.2765pct,0.0999997901720798,0.6888005599839392,0.689953949863864,0.0011533898799248599
decision_tree,unweighted,456,789,prev_10pct,0.0116328598916028,0.9500670766920416,0.9502622629701227,0.00019518627808112754
decision_tree,unweighted,456,789,prev_11.32pct,0.0100003986730482,0.956771347192662,0.957092560320627,0.0003212131279649588
decision_tree,unweighted,456,789,prev_1pct,0.1279614588076318,0.6336614105366475,0.6348852096852838,0.0012237991486363509
decision_tree,unweighted,456,789,prev_50pct,0.0012925399879558,0.994194208390513,0.9941611529992797,3.305539123332757e-05
decision_tree,unweighted,789,42,natural,1.0,0.177319950695545,0.177319950695545,0.0
decision_tree,unweighted,789,42,prev_0.2581pct,0.5,0.30122644331438825,0.30130793825157265,8.149493718440093e-05
decision_tree,unweighted,789,42,prev_1.2765pct,0.0999997901720798,0.6830828039865904,0.6841575751426535,0.0010747711560631368
decision_tree,unweighted,789,42,prev_10pct,0.0116328598916028,0.9487927762882841,0.9498773342892005,0.0010845580009164468
