cell_id,learner,csl_variant,split_seed,model_seed,R_level,R_eval,log2_distance_from_class_ratio,test_n_flagged_B,test_n_flagged_C,test_ner_B,test_ner_C,test_precision_B,test_precision_C,test_recall_B,test_recall_C,threshold_B,threshold_C,val_ner_B,val_ner_C,threshold_gap,delta_ner_test,delta_ner_val,rules_agree
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x0.015625,12.089079431998051,-5.999939858606356,22812.0,1547.0,1.589543217086118,0.311163911084112,0.0469928108013326,0.5830639948287007,0.8701298701298701,0.7321428571428571,0.0039267013780772,0.0773229375481605,1.5831002612035248,0.2807046659103683,-0.0733962361700833,1.2783793060020059,1.3023955952931565,False
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x0.0625,48.356317727992206,-3.999939858606356,22812.0,1991.0,0.4947884016741268,0.272052571612438,0.0469928108013326,0.4615770969362129,0.8701298701298701,0.7459415584415584,0.0039267013780772,0.0293020773679018,0.4797848055606215,0.2433077693217427,-0.0253753759898246,0.2227358300616888,0.23647703623887878,False
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x0.25,193.4252709119688,-1.999939858606356,22812.0,22812.0,0.2210996978211291,0.2210996978211291,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.2039559416498956,0.2039559416498956,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,val_class_ratio,773.6688311688312,0.0,22812.0,22812.0,0.1526784726457394,0.1526784726457394,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349996838949375,0.1349996838949375,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x1,773.7010836478753,6.014139364405448e-05,22812.0,22812.0,0.1526775218578796,0.1526775218578796,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349987256722141,0.1349987256722141,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x4,3094.804334591501,2.000060141393644,22812.0,343295.0,0.1355719778670673,0.0913383092394028,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1177594216777938,0.0913223104938732,0.0037322472053347,0.044233668627664494,0.0264371111839206,False
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x16,12379.217338366005,4.000060141393644,22812.0,343295.0,0.1312955918693642,0.0240521097773831,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1134495956791887,0.0240481100910007,0.0037322472053347,0.1072434820919811,0.089401485588188,False
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x64,49516.86935346402,6.000060141393644,22812.0,343295.0,0.1302264953699384,0.0072305599118782,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1123721391795374,0.0072295599902826,0.0037322472053347,0.12299593545806022,0.10514257918925479,False
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x0.015625,12.089079431998051,-5.999939858606356,22812.0,1547.0,1.589543217086118,0.311163911084112,0.0469928108013326,0.5830639948287007,0.8701298701298701,0.7321428571428571,0.0039267013780772,0.0773229375481605,1.5831002612035248,0.2807046659103683,-0.0733962361700833,1.2783793060020059,1.3023955952931565,False
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x0.0625,48.356317727992206,-3.999939858606356,22812.0,1991.0,0.4947884016741268,0.272052571612438,0.0469928108013326,0.4615770969362129,0.8701298701298701,0.7459415584415584,0.0039267013780772,0.0293020773679018,0.4797848055606215,0.2433077693217427,-0.0253753759898246,0.2227358300616888,0.23647703623887878,False
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x0.25,193.4252709119688,-1.999939858606356,22812.0,22812.0,0.2210996978211291,0.2210996978211291,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.2039559416498956,0.2039559416498956,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,val_class_ratio,773.6688311688312,0.0,22812.0,22812.0,0.1526784726457394,0.1526784726457394,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349996838949375,0.1349996838949375,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x1,773.7010836478753,6.014139364405448e-05,22812.0,22812.0,0.1526775218578796,0.1526775218578796,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349987256722141,0.1349987256722141,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x4,3094.804334591501,2.000060141393644,22812.0,343295.0,0.1355719778670673,0.0913383092394028,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1177594216777938,0.0913223104938732,0.0037322472053347,0.044233668627664494,0.0264371111839206,False
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x16,12379.217338366005,4.000060141393644,22812.0,343295.0,0.1312955918693642,0.0240521097773831,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1134495956791887,0.0240481100910007,0.0037322472053347,0.1072434820919811,0.089401485588188,False
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x64,49516.86935346402,6.000060141393644,22812.0,343295.0,0.1302264953699384,0.0072305599118782,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1123721391795374,0.0072295599902826,0.0037322472053347,0.12299593545806022,0.10514257918925479,False
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x0.015625,12.089079431998051,-5.999939858606356,22812.0,1547.0,1.589543217086118,0.311163911084112,0.0469928108013326,0.5830639948287007,0.8701298701298701,0.7321428571428571,0.0039267013780772,0.0773229375481605,1.5831002612035248,0.2807046659103683,-0.0733962361700833,1.2783793060020059,1.3023955952931565,False
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x0.0625,48.356317727992206,-3.999939858606356,22812.0,1991.0,0.4947884016741268,0.272052571612438,0.0469928108013326,0.4615770969362129,0.8701298701298701,0.7459415584415584,0.0039267013780772,0.0293020773679018,0.4797848055606215,0.2433077693217427,-0.0253753759898246,0.2227358300616888,0.23647703623887878,False
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x0.25,193.4252709119688,-1.999939858606356,22812.0,22812.0,0.2210996978211291,0.2210996978211291,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.2039559416498956,0.2039559416498956,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,val_class_ratio,773.6688311688312,0.0,22812.0,22812.0,0.1526784726457394,0.1526784726457394,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349996838949375,0.1349996838949375,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x1,773.7010836478753,6.014139364405448e-05,22812.0,22812.0,0.1526775218578796,0.1526775218578796,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349987256722141,0.1349987256722141,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x4,3094.804334591501,2.000060141393644,22812.0,343295.0,0.1355719778670673,0.0913383092394028,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1177594216777938,0.0913223104938732,0.0037322472053347,0.044233668627664494,0.0264371111839206,False
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x16,12379.217338366005,4.000060141393644,22812.0,343295.0,0.1312955918693642,0.0240521097773831,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1134495956791887,0.0240481100910007,0.0037322472053347,0.1072434820919811,0.089401485588188,False
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x64,49516.86935346402,6.000060141393644,22812.0,343295.0,0.1302264953699384,0.0072305599118782,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1123721391795374,0.0072295599902826,0.0037322472053347,0.12299593545806022,0.10514257918925479,False
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x0.015625,12.089079431998051,-5.999939858606356,22812.0,1547.0,1.589543217086118,0.311163911084112,0.0469928108013326,0.5830639948287007,0.8701298701298701,0.7321428571428571,0.0039267013780772,0.0773229375481605,1.5831002612035248,0.2807046659103683,-0.0733962361700833,1.2783793060020059,1.3023955952931565,False
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x0.0625,48.356317727992206,-3.999939858606356,22812.0,1991.0,0.4947884016741268,0.272052571612438,0.0469928108013326,0.4615770969362129,0.8701298701298701,0.7459415584415584,0.0039267013780772,0.0293020773679018,0.4797848055606215,0.2433077693217427,-0.0253753759898246,0.2227358300616888,0.23647703623887878,False
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x0.25,193.4252709119688,-1.999939858606356,22812.0,22812.0,0.2210996978211291,0.2210996978211291,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.2039559416498956,0.2039559416498956,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,val_class_ratio,773.6688311688312,0.0,22812.0,22812.0,0.1526784726457394,0.1526784726457394,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349996838949375,0.1349996838949375,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x1,773.7010836478753,6.014139364405448e-05,22812.0,22812.0,0.1526775218578796,0.1526775218578796,0.0469928108013326,0.0469928108013326,0.8701298701298701,0.8701298701298701,0.0039267013780772,0.0039267013780772,0.1349987256722141,0.1349987256722141,0.0,0.0,0.0,True
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x4,3094.804334591501,2.000060141393644,22812.0,343295.0,0.1355719778670673,0.0913383092394028,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1177594216777938,0.0913223104938732,0.0037322472053347,0.044233668627664494,0.0264371111839206,False
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x16,12379.217338366005,4.000060141393644,22812.0,343295.0,0.1312955918693642,0.0240521097773831,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1134495956791887,0.0240481100910007,0.0037322472053347,0.1072434820919811,0.089401485588188,False
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x64,49516.86935346402,6.000060141393644,22812.0,343295.0,0.1302264953699384,0.0072305599118782,0.0469928108013326,0.0035829243070828,0.8701298701298701,0.9983766233766234,0.0039267013780772,0.0001944541727425,0.1123721391795374,0.0072295599902826,0.0037322472053347,0.12299593545806022,0.10514257918925479,False
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x0.015625,12.089079431998051,-5.999939858606356,5352.0,1659.0,0.469968907804059,0.2685905025155269,0.1890881913303438,0.5780590717299579,0.8214285714285714,0.7784090909090909,0.0151061173528432,0.0399999991059303,0.4875574815559184,0.2868624610222705,-0.0248938817530871,0.20137840528853207,0.2006950205336479,False
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x0.0625,48.356317727992206,-3.999939858606356,5352.0,1935.0,0.2514207983795861,0.2321743073478247,0.1890881913303438,0.4992248062015504,0.8214285714285714,0.7840909090909091,0.0151061173528432,0.0263446755707263,0.2692107989604081,0.2499870744935646,-0.011238558217883101,0.019246491031761376,0.019223724466843506,False
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x0.25,193.4252709119688,-1.999939858606356,5352.0,5352.0,0.1967837710234679,0.1967837710234679,0.1890881913303438,0.1890881913303438,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2146241283115305,0.2146241283115305,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,val_class_ratio,773.6688311688312,0.0,5352.0,5352.0,0.1831247039921344,0.1831247039921344,0.1890881913303438,0.1890881913303438,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2009776502820692,0.2009776502820692,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x1,773.7010836478753,6.014139364405448e-05,5352.0,5352.0,0.1831245141844384,0.1831245141844384,0.1890881913303438,0.1890881913303438,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2009774606493111,0.2009774606493111,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x4,3094.804334591501,2.000060141393644,5352.0,8181.0,0.179709699974681,0.1796397239967249,0.1890881913303438,0.1238234934604571,0.8214285714285714,0.8222402597402597,0.0151061173528432,0.0005885382415726,0.1975657937337563,0.1959057499960672,0.0145175791112706,6.997597795610488e-05,0.0016600437376891042,False
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x16,12379.217338366005,4.000060141393644,5352.0,861086.0,0.1788559964222416,0.0563794481090001,0.1890881913303438,0.0014307513999763,0.8214285714285714,1.0,0.0151061173528432,0.000277483544778,0.1967128770048676,0.0580451164982234,0.014828633808065199,0.12247654831324149,0.1386677605066442,False
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x64,49516.86935346402,6.000060141393644,5352.0,931599.0,0.1786425705341318,0.0152507222152906,0.1890881913303438,0.0013224574092501,0.8214285714285714,1.0,0.0151061173528432,2.748813494690694e-05,0.1964996478226454,0.0152536728036055,0.015078629217896293,0.16339184831884118,0.18124597501903988,False
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x0.015625,12.089079431998051,-5.999939858606356,5351.0,1658.0,0.4699017655277381,0.268523360239206,0.1891235283124649,0.5784077201447527,0.8214285714285714,0.7784090909090909,0.0151061173528432,0.0399999991059303,0.4874231970032766,0.2867281764696287,-0.0248938817530871,0.20137840528853213,0.20069502053364785,False
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x0.0625,48.356317727992206,-3.999939858606356,5351.0,1934.0,0.2514040128105059,0.2321575217787444,0.1891235283124649,0.499482936918304,0.8214285714285714,0.7840909090909091,0.0151061173528432,0.0263446755707263,0.2691772278222477,0.2499535033554041,-0.011238558217883101,0.019246491031761487,0.01922372446684359,False
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x0.25,193.4252709119688,-1.999939858606356,5351.0,5351.0,0.1967795746311978,0.1967795746311978,0.1891235283124649,0.1891235283124649,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2146157355269904,0.2146157355269904,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,val_class_ratio,773.6688311688312,0.0,5351.0,5351.0,0.1831236548503324,0.1831236548503324,0.1891235283124649,0.1891235283124649,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2009755519984652,0.2009755519984652,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x1,773.7010836478753,6.014139364405448e-05,5351.0,5351.0,0.1831234650863708,0.1831234650863708,0.1891235283124649,0.1891235283124649,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2009753624531761,0.2009753624531761,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x4,3094.804334591501,2.000060141393644,5351.0,8180.0,0.1797094377001641,0.179639461722208,0.1891235283124649,0.1238386308068459,0.8214285714285714,0.8222402597402597,0.0151061173528432,0.0005885382415726,0.1975652691847225,0.1959052254470334,0.0145175791112706,6.997597795610488e-05,0.0016600437376891042,False
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x16,12379.217338366005,4.000060141393644,5351.0,861085.0,0.1788559308536124,0.0563793825403709,0.1891235283124649,0.0014307530615444,0.8214285714285714,1.0,0.0151061173528432,0.000277483544778,0.1967127458676091,0.058044985360965,0.014828633808065199,0.1224765483132415,0.1386677605066441,False
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x64,49516.86935346402,6.000060141393644,5351.0,931598.0,0.1786425541419745,0.0152507058231333,0.1891235283124649,0.0013224588288081,0.8214285714285714,1.0,0.0151061173528432,2.748813494690694e-05,0.1964996150383308,0.0152536400192909,0.015078629217896293,0.1633918483188412,0.1812459750190399,False
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x0.015625,12.089079431998051,-5.999939858606356,5351.0,1658.0,0.4699017655277381,0.268523360239206,0.1891235283124649,0.5784077201447527,0.8214285714285714,0.7784090909090909,0.0151061173528432,0.0399999991059303,0.4874231970032766,0.2867281764696287,-0.0248938817530871,0.20137840528853213,0.20069502053364785,False
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x0.0625,48.356317727992206,-3.999939858606356,5351.0,1934.0,0.2514040128105059,0.2321575217787444,0.1891235283124649,0.499482936918304,0.8214285714285714,0.7840909090909091,0.0151061173528432,0.0263446755707263,0.2691772278222477,0.2499535033554041,-0.011238558217883101,0.019246491031761487,0.01922372446684359,False
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x0.25,193.4252709119688,-1.999939858606356,5351.0,5351.0,0.1967795746311978,0.1967795746311978,0.1891235283124649,0.1891235283124649,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2146157355269904,0.2146157355269904,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,val_class_ratio,773.6688311688312,0.0,5351.0,5351.0,0.1831236548503324,0.1831236548503324,0.1891235283124649,0.1891235283124649,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2009755519984652,0.2009755519984652,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x1,773.7010836478753,6.014139364405448e-05,5351.0,5351.0,0.1831234650863708,0.1831234650863708,0.1891235283124649,0.1891235283124649,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2009753624531761,0.2009753624531761,0.0,0.0,0.0,True
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x4,3094.804334591501,2.000060141393644,5351.0,8180.0,0.1797094377001641,0.179639461722208,0.1891235283124649,0.1238386308068459,0.8214285714285714,0.8222402597402597,0.0151061173528432,0.0005885382415726,0.1975652691847225,0.1959052254470334,0.0145175791112706,6.997597795610488e-05,0.0016600437376891042,False
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x16,12379.217338366005,4.000060141393644,5351.0,861085.0,0.1788559308536124,0.0563793825403709,0.1891235283124649,0.0014307530615444,0.8214285714285714,1.0,0.0151061173528432,0.000277483544778,0.1967127458676091,0.058044985360965,0.014828633808065199,0.1224765483132415,0.1386677605066441,False
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x64,49516.86935346402,6.000060141393644,5351.0,931598.0,0.1786425541419745,0.0152507058231333,0.1891235283124649,0.0013224588288081,0.8214285714285714,1.0,0.0151061173528432,2.748813494690694e-05,0.1964996150383308,0.0152536400192909,0.015078629217896293,0.1633918483188412,0.1812459750190399,False
decision_tree__unweighted__split123__model789,decision_tree,unweighted,123,789,R_x0.015625,12.089079431998051,-5.999939858606356,5345.0,1658.0,0.4694989118698128,0.268523360239206,0.1893358278765201,0.5784077201447527,0.8214285714285714,0.7784090909090909,0.0151061173528432,0.0399999991059303,0.4876917661085601,0.2867281764696287,-0.0248938817530871,0.20097555163060682,0.20096358963893135,False
decision_tree__unweighted__split123__model789,decision_tree,unweighted,123,789,R_x0.0625,48.356317727992206,-3.999939858606356,5345.0,1934.0,0.2513032993960246,0.2321575217787444,0.1893358278765201,0.499482936918304,0.8214285714285714,0.7840909090909091,0.0151061173528432,0.0263446755707263,0.2692443700985685,0.2499535033554041,-0.011238558217883101,0.019145777617280174,0.01929086674316441,False
decision_tree__unweighted__split123__model789,decision_tree,unweighted,123,789,R_x0.25,193.4252709119688,-1.999939858606356,5345.0,5345.0,0.1967543962775775,0.1967543962775775,0.1893358278765201,0.1893358278765201,0.8214285714285714,0.8214285714285714,0.0151061173528432,0.0151061173528432,0.2146325210960706,0.2146325210960706,0.0,0.0,0.0,True
