learner,reference,reference_R_train,R_train,split_seed,model_seed,exact_seed_match,matched_by_determinism,same_test_observations,reference_pr_auc,pr_auc,delta_pr_auc,reference_ner,ner,delta_ner
decision_tree,unweighted,1.0,100.0,123,456,True,False,True,0.7674547839989712,0.7544921695860373,-0.012962614412933893,0.1831234650863708,0.12416267731617178,-0.05896078777019903
decision_tree,unweighted,1.0,100.0,123,789,True,False,True,0.7674627863245576,0.754510614919658,-0.01295217140489957,0.1831171704979658,0.12416267731617178,-0.05895449318179402
decision_tree,unweighted,1.0,100.0,42,123,True,False,True,0.7297426212657876,0.7505454149543875,0.02080279368859994,0.1526775218578796,0.14449515001082006,-0.008182371847059555
decision_tree,unweighted,1.0,100.0,42,42,True,False,True,0.7297426212657876,0.7505674569290289,0.020824835663241337,0.1526775218578796,0.1444836099320774,-0.00819391192580221
decision_tree,unweighted,1.0,100.0,42,456,True,False,True,0.7297814974740391,0.7505634406451616,0.020781943171122474,0.1526775218578796,0.14448570812821243,-0.00819181372966718
decision_tree,unweighted,1.0,100.0,42,789,True,False,True,0.7297426212657876,0.750522206027975,0.020779584762187442,0.1526775218578796,0.14449515001082006,-0.008182371847059555
decision_tree,unweighted,1.0,100.0,456,123,True,False,True,0.7511873139577037,0.7744155716952892,0.023228257737585523,0.193050464282648,0.13766669037826718,-0.05538377390438082
decision_tree,unweighted,1.0,100.0,456,42,True,False,True,0.7511850498051984,0.7741858473113998,0.02300079750620143,0.1930515133807155,0.13766564128019965,-0.05538587210051585
decision_tree,unweighted,1.0,100.0,456,456,True,False,True,0.7507019534840034,0.7741810669210407,0.023479113437037347,0.1930515133807155,0.13766878857440218,-0.055382724806313316
decision_tree,unweighted,1.0,100.0,456,789,True,False,True,0.7511850498051984,0.774418437628172,0.023233387822973572,0.1930515133807155,0.13766773947633468,-0.05538377390438082
decision_tree,unweighted,1.0,100.0,789,123,True,False,True,0.7571897155189382,0.7554150670424552,-0.0017746484764830095,0.1875312563012945,0.11771837011147301,-0.06981288618982148
decision_tree,unweighted,1.0,100.0,789,42,True,False,True,0.7571897155189382,0.7554057052800699,-0.0017840102388683166,0.1875312563012945,0.11772466469987809,-0.0698065916014164
decision_tree,unweighted,1.0,100.0,789,456,True,False,True,0.7571744114532092,0.7554150670424552,-0.0017593444107539824,0.1875354526935645,0.11771837011147301,-0.06981708258209149
decision_tree,unweighted,1.0,100.0,789,789,True,False,True,0.7572455594467772,0.7554057052800699,-0.0018398541667072887,0.1875354526935645,0.11772466469987809,-0.06981078799368641
decision_tree,unweighted,1.0,773.7010836478753,123,123,True,False,True,0.7674547839989712,0.745346620759228,-0.022108163239743184,0.1831234650863708,0.1211559281490905,-0.06196753693728031
