cell_id,learner,csl_variant,split_seed,model_seed,R_level,R_eval,threshold_B,threshold_C,threshold_gap,rules_agree,test_ner_B,test_ner_C,delta_ner_test
decision_tree__unweighted__split456__model789,decision_tree,unweighted,456,789,val_class_ratio,773.6688311688312,0.0140526974573731,0.0140526974573731,0.0,True,0.1930517109731511,0.1930517109731511,0.0
decision_tree__unweighted__split456__model789,decision_tree,unweighted,456,789,R_x1,773.7010836478753,0.0140526974573731,0.0140526974573731,0.0,True,0.1930515133807155,0.1930515133807155,0.0
decision_tree__unweighted__split789__model42,decision_tree,unweighted,789,42,val_class_ratio,773.6688311688312,0.0129506699740886,0.0129506699740886,0.0,True,0.1875314606288419,0.1875314606288419,0.0
decision_tree__unweighted__split789__model42,decision_tree,unweighted,789,42,R_x1,773.7010836478753,0.0129506699740886,0.0129506699740886,0.0,True,0.1875312563012945,0.1875312563012945,0.0
decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,val_class_ratio,773.6688311688312,0.0129506699740886,0.0129506699740886,0.0,True,0.1875314606288419,0.1875314606288419,0.0
decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,R_x1,773.7010836478753,0.0129506699740886,0.0129506699740886,0.0,True,0.1875312563012945,0.1875312563012945,0.0
decision_tree__unweighted__split789__model456,decision_tree,unweighted,789,456,val_class_ratio,773.6688311688312,0.0129506699740886,0.0129506699740886,0.0,True,0.1875356571960499,0.1875356571960499,0.0
decision_tree__unweighted__split789__model456,decision_tree,unweighted,789,456,R_x1,773.7010836478753,0.0129506699740886,0.0129506699740886,0.0,True,0.1875354526935645,0.1875354526935645,0.0
decision_tree__unweighted__split789__model789,decision_tree,unweighted,789,789,val_class_ratio,773.6688311688312,0.0129506699740886,0.0129506699740886,0.0,True,0.1875356571960499,0.1875356571960499,0.0
decision_tree__unweighted__split789__model789,decision_tree,unweighted,789,789,R_x1,773.7010836478753,0.0129506699740886,0.0129506699740886,0.0,True,0.1875354526935645,0.1875354526935645,0.0
decision_tree__weighted__split42__model42,decision_tree,weighted,42,42,val_class_ratio,773.6688311688312,0.4773277640342712,0.4773277640342712,0.0,True,0.140774855259307,0.140774855259307,0.0
decision_tree__weighted__split42__model42,decision_tree,weighted,42,42,R_x1,773.7010836478753,0.4773277640342712,0.4773277640342712,0.0,True,0.1407735886209447,0.1407735886209447,0.0
decision_tree__weighted__split42__model123,decision_tree,weighted,42,123,val_class_ratio,773.6688311688312,0.4773277640342712,0.4773277640342712,0.0,True,0.1407601672740789,0.1407601672740789,0.0
decision_tree__weighted__split42__model123,decision_tree,weighted,42,123,R_x1,773.7010836478753,0.4773277640342712,0.4773277640342712,0.0,True,0.1407589012479995,0.1407589012479995,0.0
decision_tree__weighted__split42__model456,decision_tree,weighted,42,456,val_class_ratio,773.6688311688312,0.4773277640342712,0.4773277640342712,0.0,True,0.1407643638412869,0.1407643638412869,0.0
decision_tree__weighted__split42__model456,decision_tree,weighted,42,456,R_x1,773.7010836478753,0.4773277640342712,0.4773277640342712,0.0,True,0.1407630976402696,0.1407630976402696,0.0
decision_tree__weighted__split42__model789,decision_tree,weighted,42,789,val_class_ratio,773.6688311688312,0.4773277640342712,0.4773277640342712,0.0,True,0.1407601672740789,0.1407601672740789,0.0
decision_tree__weighted__split42__model789,decision_tree,weighted,42,789,R_x1,773.7010836478753,0.4773277640342712,0.4773277640342712,0.0,True,0.1407589012479995,0.1407589012479995,0.0
decision_tree__weighted__split123__model42,decision_tree,weighted,123,42,val_class_ratio,773.6688311688312,0.4168910980224609,0.4168910980224609,0.0,True,0.121166292790679,0.121166292790679,0.0
decision_tree__weighted__split123__model42,decision_tree,weighted,123,42,R_x1,773.7010836478753,0.4168910980224609,0.4168910980224609,0.0,True,0.1211643209336306,0.1211643209336306,0.0
decision_tree__weighted__split123__model123,decision_tree,weighted,123,123,val_class_ratio,773.6688311688312,0.4168910980224609,0.4168910980224609,0.0,True,0.121157899656263,0.121157899656263,0.0
decision_tree__weighted__split123__model123,decision_tree,weighted,123,123,R_x1,773.7010836478753,0.4168910980224609,0.4168910980224609,0.0,True,0.1211559281490905,0.1211559281490905,0.0
decision_tree__weighted__split123__model456,decision_tree,weighted,123,456,val_class_ratio,773.6688311688312,0.4168910980224609,0.4168910980224609,0.0,True,0.121156850514461,0.121156850514461,0.0
decision_tree__weighted__split123__model456,decision_tree,weighted,123,456,R_x1,773.7010836478753,0.4168910980224609,0.4168910980224609,0.0,True,0.121154879051023,0.121154879051023,0.0
decision_tree__weighted__split123__model789,decision_tree,weighted,123,789,val_class_ratio,773.6688311688312,0.4168910980224609,0.4168910980224609,0.0,True,0.121158948798065,0.121158948798065,0.0
decision_tree__weighted__split123__model789,decision_tree,weighted,123,789,R_x1,773.7010836478753,0.4168910980224609,0.4168910980224609,0.0,True,0.121156977247158,0.121156977247158,0.0
decision_tree__weighted__split456__model42,decision_tree,weighted,456,42,val_class_ratio,773.6688311688312,0.6332982182502747,0.6332982182502747,0.0,True,0.1309828333150755,0.1309828333150755,0.0
decision_tree__weighted__split456__model42,decision_tree,weighted,456,42,R_x1,773.7010836478753,0.6332982182502747,0.6332982182502747,0.0,True,0.130981501162444,0.130981501162444,0.0
decision_tree__weighted__split456__model123,decision_tree,weighted,456,123,val_class_ratio,773.6688311688312,0.6332982182502747,0.6332982182502747,0.0,True,0.1309828333150755,0.1309828333150755,0.0
decision_tree__weighted__split456__model123,decision_tree,weighted,456,123,R_x1,773.7010836478753,0.6332982182502747,0.6332982182502747,0.0,True,0.130981501162444,0.130981501162444,0.0
decision_tree__weighted__split456__model456,decision_tree,weighted,456,456,val_class_ratio,773.6688311688312,0.6332982182502747,0.6332982182502747,0.0,True,0.1309828333150755,0.1309828333150755,0.0
decision_tree__weighted__split456__model456,decision_tree,weighted,456,456,R_x1,773.7010836478753,0.6332982182502747,0.6332982182502747,0.0,True,0.130981501162444,0.130981501162444,0.0
decision_tree__weighted__split456__model789,decision_tree,weighted,456,789,val_class_ratio,773.6688311688312,0.6332982182502747,0.6332982182502747,0.0,True,0.1309817841732735,0.1309817841732735,0.0
decision_tree__weighted__split456__model789,decision_tree,weighted,456,789,R_x1,773.7010836478753,0.6332982182502747,0.6332982182502747,0.0,True,0.1309804520643765,0.1309804520643765,0.0
decision_tree__weighted__split789__model42,decision_tree,weighted,789,42,val_class_ratio,773.6688311688312,0.456003189086914,0.456003189086914,0.0,True,0.1171316272380102,0.1171316272380102,0.0
decision_tree__weighted__split789__model42,decision_tree,weighted,789,42,R_x1,773.7010836478753,0.456003189086914,0.456003189086914,0.0,True,0.1171295867178091,0.1171295867178091,0.0
decision_tree__weighted__split789__model123,decision_tree,weighted,789,123,val_class_ratio,773.6688311688312,0.456003189086914,0.456003189086914,0.0,True,0.1171305780962082,0.1171305780962082,0.0
decision_tree__weighted__split789__model123,decision_tree,weighted,789,123,R_x1,773.7010836478753,0.456003189086914,0.456003189086914,0.0,True,0.1171285376197415,0.1171285376197415,0.0
decision_tree__weighted__split789__model456,decision_tree,weighted,789,456,val_class_ratio,773.6688311688312,0.456003189086914,0.456003189086914,0.0,True,0.1171305780962082,0.1171305780962082,0.0
decision_tree__weighted__split789__model456,decision_tree,weighted,789,456,R_x1,773.7010836478753,0.456003189086914,0.456003189086914,0.0,True,0.1171285376197415,0.1171285376197415,0.0
