cell_id,learner,R_train,r_train_parameter,r_train_in_estimator,r_train_reached_estimator,convergence_warnings
random_forest__weighted__R50__split456__model123,random_forest,50.0,class_weight[1],50.0,True,0
random_forest__weighted__R50__split456__model42,random_forest,50.0,class_weight[1],50.0,True,0
random_forest__weighted__R50__split456__model456,random_forest,50.0,class_weight[1],50.0,True,0
random_forest__weighted__R50__split456__model789,random_forest,50.0,class_weight[1],50.0,True,0
random_forest__weighted__R50__split789__model123,random_forest,50.0,class_weight[1],50.0,True,0
random_forest__weighted__R50__split789__model42,random_forest,50.0,class_weight[1],50.0,True,0
random_forest__weighted__R50__split789__model456,random_forest,50.0,class_weight[1],50.0,True,0
random_forest__weighted__R50__split789__model789,random_forest,50.0,class_weight[1],50.0,True,0
xgboost__weighted__R100__split123__model123,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split123__model42,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split123__model456,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split123__model789,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split42__model123,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split42__model42,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split42__model456,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split42__model789,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split456__model123,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split456__model42,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split456__model456,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split456__model789,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split789__model123,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split789__model42,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split789__model456,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R100__split789__model789,xgboost,100.0,scale_pos_weight,100.0,True,0
xgboost__weighted__R10__split123__model123,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split123__model42,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split123__model456,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split123__model789,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split42__model123,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split42__model42,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split42__model456,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split42__model789,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split456__model123,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split456__model42,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split456__model456,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split456__model789,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split789__model123,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split789__model42,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split789__model456,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R10__split789__model789,xgboost,10.0,scale_pos_weight,10.0,True,0
xgboost__weighted__R2000__split123__model123,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split123__model42,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split123__model456,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split123__model789,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split42__model123,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split42__model42,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split42__model456,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split42__model789,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split456__model123,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split456__model42,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split456__model456,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split456__model789,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split789__model123,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split789__model42,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split789__model456,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R2000__split789__model789,xgboost,2000.0,scale_pos_weight,2000.0,True,0
xgboost__weighted__R5000__split123__model123,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split123__model42,xgboost,5000.0,scale_pos_weight,5000.0,True,0
