learner,R_train,metric,training_seed_std,split_std,total_std,deterministic_in_model_seed
decision_tree,1.0,pr_auc,0.0002449242063549829,0.01580555767723849,0.014138777544403857,False
decision_tree,1.0,ner,1.5765224680524202e-06,0.018074695909881172,0.016166499505458988,False
decision_tree,10.0,pr_auc,0.00015969467204083598,0.019894587320044288,0.017794962354396766,False
decision_tree,10.0,ner,0.00011717003880485503,0.01228466287892171,0.01098838856469984,False
decision_tree,50.0,pr_auc,9.541822816509397e-05,0.011665159636191812,0.010433767844843398,False
decision_tree,50.0,ner,0.0001025108123814079,0.011628828098522776,0.010402366149035107,False
decision_tree,100.0,pr_auc,4.268810554386386e-05,0.01061760020991865,0.009496865492484262,False
decision_tree,100.0,ner,3.3009996477793994e-06,0.012240783127552005,0.010948489634931726,False
decision_tree,773.7010836478753,pr_auc,5.200640905450503e-05,0.016511761434542884,0.01476864838222701,False
decision_tree,773.7010836478753,ner,3.0864226584116144e-06,0.010580161297411832,0.009463184442209054,False
decision_tree,2000.0,pr_auc,3.959089930306203e-07,0.007543831413580285,0.0067474079616396745,False
decision_tree,2000.0,ner,3.028485258448378e-07,0.011549806893963717,0.010330461340522597,False
decision_tree,5000.0,pr_auc,2.587238712271678e-07,0.01099834260668397,0.009837216688949811,False
decision_tree,5000.0,ner,3.028485258438363e-07,0.010832445791569188,0.009688834064858824,False
logistic_regression,1.0,pr_auc,0.0,0.014271354747330559,0.014271354747330569,False
logistic_regression,1.0,ner,0.0,0.014722931354249331,0.014722931354249331,False
logistic_regression,10.0,pr_auc,0.0,0.016710751600204486,0.016710751600204486,True
logistic_regression,10.0,ner,0.0,0.017567572965148427,0.017567572965148423,True
logistic_regression,50.0,pr_auc,0.0,0.017689136990780615,0.017689136990780608,True
logistic_regression,50.0,ner,0.0,0.012402324491379518,0.012402324491379513,True
logistic_regression,100.0,pr_auc,0.0,0.017379592125124528,0.017379592125124525,True
logistic_regression,100.0,ner,0.0,0.010993512048083288,0.010993512048083293,True
logistic_regression,773.7010836478753,pr_auc,0.0,0.00727625298628438,0.007276252986284374,True
logistic_regression,773.7010836478753,ner,0.0,0.012356033992632166,0.012356033992632173,True
logistic_regression,2000.0,pr_auc,0.0,0.009990537775666821,0.00999053777566682,True
logistic_regression,2000.0,ner,0.0,0.009655895793398416,0.009655895793398414,True
logistic_regression,5000.0,pr_auc,0.0,0.011361867790910713,0.011361867790910717,True
logistic_regression,5000.0,ner,0.0,0.007756920069596462,0.007756920069596464,True
random_forest,1.0,pr_auc,0.0016766293253926748,0.014055057622483453,0.012610772150007872,False
random_forest,1.0,ner,0.002119347826340801,0.009426635674372432,0.008547348010990028,False
random_forest,10.0,pr_auc,0.0012243458050405854,0.015471038504454427,0.013842610930657532,False
random_forest,10.0,ner,0.002323770492863462,0.008502337746847588,0.007795311801716228,False
random_forest,50.0,pr_auc,0.0015048837859545892,0.014964693444123975,0.0134392462946816,False
random_forest,50.0,ner,0.001865487648500081,0.008201647647159638,0.007373990768346419,False
random_forest,100.0,pr_auc,0.0018238812823843985,0.01554030376532759,0.013969504219663424,False
random_forest,100.0,ner,0.0023955081690028527,0.009526737207231182,0.008596560693691935,False
random_forest,773.7010836478753,pr_auc,0.0027204387533662847,0.01597319393986555,0.014481269695478617,False
random_forest,773.7010836478753,ner,0.003977940615488427,0.010976423020355187,0.009868199192131473,False
random_forest,2000.0,pr_auc,0.0024720776447662864,0.01746681467276709,0.01575166367976516,False
random_forest,2000.0,ner,0.004422551209504468,0.012266009891983797,0.011689477924444157,False
random_forest,5000.0,pr_auc,0.003261051921938619,0.01893734506592002,0.017104986790329516,False
random_forest,5000.0,ner,0.004113278851267864,0.00889190055661392,0.008608773375788204,False
xgboost,1.0,pr_auc,0.0013134692296808052,0.011637663114890371,0.010432536719174311,False
xgboost,1.0,ner,0.0023938395040684983,0.010056062559046768,0.009148382879777605,False
xgboost,10.0,pr_auc,0.000941077402086854,0.012525649446549235,0.011218165280564364,False
xgboost,10.0,ner,0.002024563133551328,0.011134670572417803,0.010070894510194564,False
xgboost,50.0,pr_auc,0.0011522230137372073,0.012887906581936448,0.011571957082299368,False
xgboost,50.0,ner,0.0015882082421868598,0.011320307763012216,0.010189988276409344,False
xgboost,100.0,pr_auc,0.0011492059217968885,0.013061480225231936,0.011717882405472176,False
xgboost,100.0,ner,0.0033051847834315996,0.01058183138936433,0.009696930348318663,False
xgboost,773.7010836478753,pr_auc,0.0013942410167875937,0.013495830823945761,0.012131105380068325,False
xgboost,773.7010836478753,ner,0.002549061355726164,0.012863854368873603,0.011679868899961482,False
xgboost,2000.0,pr_auc,0.0012166931970400755,0.013221714038674285,0.011854973905814704,False
xgboost,2000.0,ner,0.00299920664438688,0.011297590444286874,0.010349977967190198,False
xgboost,5000.0,pr_auc,0.0019176612284303328,0.013201821076765215,0.011830403012116767,False
xgboost,5000.0,ner,0.0027938304136129453,0.0115528083323688,0.010507735897304292,False
