experiment_id,cell_id,learner,csl_variant,csl_mechanism,config,level,feature_set,split,split_strategy,split_seed,model_seed,deterministic_in_model_seed,R_train,R_eval,is_default_R_train,r_train_parameter,r_train_reached_estimator,threshold_rule,threshold_selected_on,train_prevalence,val_prevalence,test_prevalence,train_n_positive,train_n_negative,val_n_positive,val_n_negative,test_n_positive,test_n_negative,n_train,fit_seconds,git_sha,git_dirty,python_version,sklearn_version,xgboost_version,timestamp_utc,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000,source
E2_training_cost_sweep,decision_tree__weighted__R100__split123__model123,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,123,123,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,74.98060229999828,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T11:41:38+00:00,0.7545137077720243,0.9837216014771288,0.004649897623863166,0.13146363198757172,1111,24730,121,928432,0.042993692194574516,0.9017857142857143,0.08207439146012632,0.19375625281415618,25841,0.027075819839605025,773.7010836478753,0.12415848092390173,118347.83112139288,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6801948051948052,0.838,0.8352272727272727,0.2058,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split123__model42,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,123,42,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,89.60203399999591,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T11:40:17+00:00,0.754510614919658,0.9837208742326327,0.004651785440425303,0.13146363198757172,1111,24734,121,928428,0.04298703811182047,0.9017857142857143,0.08206226686856004,0.1937407475134186,25845,0.027080010980789906,773.7010836478753,0.12416267731617178,118351.83112139288,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6818181818181818,0.84,0.8352272727272727,0.2058,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split123__model456,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,123,456,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,66.28668730000209,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T11:42:48+00:00,0.7544921695860373,0.9837207379807364,0.004653110847332944,0.13146363198757172,1111,24734,121,928428,0.04298703811182047,0.9017857142857143,0.08206226686856004,0.1937407475134186,25845,0.027080010980789906,773.7010836478753,0.12416267731617178,118351.83112139288,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6728896103896104,0.829,0.8352272727272727,0.2058,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split123__model789,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,123,789,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,72.25129440000455,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T11:44:06+00:00,0.754510614919658,0.9837208742326327,0.004651785440425303,0.13146363198757172,1111,24734,121,928428,0.04298703811182047,0.9017857142857143,0.08206226686856004,0.1937407475134186,25845,0.027080010980789906,773.7010836478753,0.12416267731617178,118351.83112139288,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6818181818181818,0.84,0.8352272727272727,0.2058,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split42__model123,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,123,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,43.30828040000051,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T09:38:05+00:00,0.7505454149543875,0.9817860002273499,0.004336758143281278,0.07012622803449631,1104,38699,128,914463,0.02773660276863553,0.8961038961038961,0.05380772511270866,0.1536522799532069,39803,0.04170499814542002,773.7010836478753,0.14449515001082006,137732.738706928,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6842532467532467,0.843,0.8051948051948052,0.1984,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split42__model42,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,42,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,40.1343452000001,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T09:37:18+00:00,0.7505674569290289,0.9817884919339013,0.0043315666477353985,0.07012622803449631,1104,38688,128,914474,0.027744270205066344,0.8961038961038961,0.05382215288611544,0.15367466499127133,39792,0.041693472507161614,773.7010836478753,0.1444836099320774,137721.738706928,0.08035714285714286,0.99,0.4050324675324675,0.998,0.6818181818181818,0.84,0.8060064935064936,0.1986,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split42__model456,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,456,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,40.33001209999202,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T09:38:48+00:00,0.7505634406451616,0.9817880388963465,0.004332510556016468,0.07012622803449631,1104,38690,128,914472,0.027742875810423683,0.8961038961038961,0.053819529079120555,0.15367059430641591,39794,0.04169556807775405,773.7010836478753,0.14448570812821243,137723.738706928,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6866883116883117,0.846,0.8043831168831169,0.1982,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split42__model789,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,789,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,39.68453729999601,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T09:39:30+00:00,0.750522206027975,0.9817859887310961,0.0043367581456539095,0.07012622803449631,1104,38699,128,914463,0.02773660276863553,0.8961038961038961,0.05380772511270866,0.1536522799532069,39803,0.04170499814542002,773.7010836478753,0.14449515001082006,137732.738706928,0.08035714285714286,0.99,0.4050324675324675,0.998,0.6891233766233766,0.849,0.8060064935064936,0.1986,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split456__model123,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,456,123,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,55.06651289999718,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T15:41:19+00:00,0.7744155716952892,0.9837887408763346,0.004351659125448507,0.23217247426509857,1091,22132,141,931030,0.046979287775050595,0.885551948051948,0.08922510734001227,0.20095070346589072,23223,0.024332717934102688,773.7010836478753,0.13766669037826718,131223.85279435042,0.08116883116883117,1.0,0.4050324675324675,0.998,0.7021103896103896,0.865,0.8311688311688312,0.2048,E2
E2_training_cost_sweep,decision_tree__weighted__R100__split456__model42,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,456,42,False,100.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,60.25558169999567,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T15:40:21+00:00,0.7741858473113998,0.9837886970202554,0.004351139726898589,0.23217247426509857,1091,22131,141,931031,0.04698131082594092,0.885551948051948,0.08922875603173305,0.20095516673393898,23222,0.024331670148806467,773.7010836478753,0.13766564128019965,131222.85279435042,0.08035714285714286,0.99,0.4050324675324675,0.998,0.7069805194805194,0.871,0.8295454545454546,0.2044,E2
