R_decision,R_train,learner,variant,ner,recall,n_flagged,threshold,training_cost_ratio_varied,sweep_layer
100.0,773.7010836478753,xgboost,unweighted,0.1863961038961039,0.8319805194805194,3289,0.0118460683152079,False,decision
100.0,773.7010836478753,xgboost,weighted,0.1995211038961039,0.8189935064935064,3290,0.8028237819671631,False,decision
100.0,773.7010836478753,xgboost,instance_weighted,0.1983035714285714,0.827922077922078,4251,0.6760181784629822,False,decision
100.0,773.7010836478753,xgboost,rus,0.2241152597402597,0.814935064935065,5815,0.9561155438423156,False,decision
500.0,773.7010836478753,logistic_regression,unweighted,0.2753051948051948,0.7946428571428571,44067,0.0026733386330306,False,decision
500.0,773.7010836478753,logistic_regression,weighted,0.2397970779220779,0.8214285714285714,38727,0.6261211633682251,False,decision
500.0,773.7010836478753,logistic_regression,instance_weighted,0.2535730519480519,0.8125,41702,0.5527586340904236,False,decision
500.0,773.7010836478753,logistic_regression,rus,0.2440600649350649,0.8189935064935064,39850,0.6298765540122986,False,decision
500.0,773.7010836478753,decision_tree,unweighted,0.1651623376623376,0.8701298701298701,22812,0.0039267013780772,False,decision
500.0,773.7010836478753,decision_tree,weighted,0.1646298701298701,0.8660714285714286,19979,0.726906955242157,False,decision
500.0,773.7010836478753,decision_tree,instance_weighted,0.1605373376623376,0.885551948051948,29482,0.5283392071723938,False,decision
500.0,773.7010836478753,decision_tree,rus,0.1690925324675324,0.8823051948051948,32748,0.6122449040412903,False,decision
500.0,773.7010836478753,random_forest,unweighted,0.1443782467532467,0.8896103896103896,22033,0.0025640910025686,False,decision
500.0,773.7010836478753,random_forest,weighted,0.165775974025974,0.8798701298701299,29202,0.2172229140996933,False,decision
500.0,773.7010836478753,random_forest,instance_weighted,0.159862012987013,0.887987012987013,30569,0.1492042690515518,False,decision
500.0,773.7010836478753,random_forest,rus,0.1566964285714285,0.885551948051948,27116,0.6049984693527222,False,decision
500.0,773.7010836478753,xgboost,unweighted,0.1459366883116883,0.8701298701298701,10969,0.003233632305637,False,decision
500.0,773.7010836478753,xgboost,weighted,0.1515438311688311,0.8693181818181818,13922,0.4900791347026825,False,decision
500.0,773.7010836478753,xgboost,instance_weighted,0.1588717532467532,0.8555194805194806,9919,0.4699626564979553,False,decision
500.0,773.7010836478753,xgboost,rus,0.1467564935064935,0.8847402597402597,20492,0.7630190849304199,False,decision
773.7010836478753,773.7010836478753,logistic_regression,unweighted,0.2498868231012079,0.810064935064935,58144,0.002015677280724,False,decision
773.7010836478753,773.7010836478753,logistic_regression,weighted,0.2130063622487797,0.8441558441558441,55527,0.5718259811401367,False,decision
773.7010836478753,773.7010836478753,logistic_regression,instance_weighted,0.227994102202378,0.8368506493506493,62841,0.4736462533473968,False,decision
773.7010836478753,773.7010836478753,logistic_regression,rus,0.2126218621227714,0.8482142857142857,59034,0.5665059685707092,False,decision
773.7010836478753,773.7010836478753,decision_tree,unweighted,0.1526775218578796,0.8701298701298701,22812,0.0039267013780772,False,decision
