learner,config,variant,level,threshold_rule,split,seed,feature_set,fit_seconds,n_train,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,ner_severity_weighted,total_risk_severity_weighted,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000
logistic_regression,A,unweighted,none,fixed,val,42,full,12.400145799998427,4453834,0.8275315316245621,0.9961879249535245,0.0003962985925785135,0.5,836,35,396,953125,0.9598163030998852,0.6785714285714286,0.7950546837850689,0.806837578534353,871,0.0009126229054728036,773.7010836478753,0.3214652898609343,306420.62912455853,0.2540680439818987,191919.05835334226,0.08116883116883117,1.0,0.40016233766233766,0.986,0.7248376623376623,0.893,0.900974025974026,0.222
logistic_regression,A,unweighted,none,fixed,test,42,full,12.400145799998427,4453834,0.8160173160210131,0.9944724675043997,0.0004180831664346159,0.5,809,34,423,953128,0.9596678529062871,0.6566558441558441,0.7797590361445783,0.7936283714641236,843,0.0008832830047129383,773.7010836478753,0.3433798251784512,327309.5583830512,0.2734074677209165,201958.37731584074,0.08116883116883117,1.0,0.4025974025974026,0.992,0.7175324675324676,0.884,0.8847402597402597,0.218
logistic_regression,B,unweighted,decision,youden,val,42,full,12.400145799998427,4453834,0.8275315316245621,0.9961879249535245,0.0003962985925785135,0.0016635397914797068,1208,37918,24,915242,0.030874610233604254,0.9805194805194806,0.059864215273303927,0.17035332374636794,39126,0.04099573340933285,773.7010836478753,0.0592602200045074,56486.82600754901,0.0637129309734178,48127.75949981736,0.08116883116883117,1.0,0.40016233766233766,0.986,0.7248376623376623,0.893,0.900974025974026,0.222
logistic_regression,B,unweighted,decision,youden,test,42,full,12.400145799998427,4453834,0.8160173160210131,0.9944724675043997,0.0004180831664346159,0.0016635397914797068,1207,37730,25,915432,0.030998792921899478,0.9797077922077922,0.06009609400283801,0.17063712370396977,38937,0.04079761607889404,773.7010836478753,0.05987467787950312,57072.527091196884,0.0666470482574017,49230.29290734202,0.08116883116883117,1.0,0.4025974025974026,0.992,0.7175324675324676,0.884,0.8847402597402597,0.218
logistic_regression,C,unweighted,decision,ner_optimal,val,42,full,12.400145799998427,4453834,0.8275315316245621,0.9961879249535245,0.0003962985925785135,0.0016635397914797068,1208,37918,24,915242,0.030874610233604254,0.9805194805194806,0.059864215273303927,0.17035332374636794,39126,0.04099573340933285,773.7010836478753,0.0592602200045074,56486.82600754901,0.0637129309734178,48127.75949981736,0.08116883116883117,1.0,0.40016233766233766,0.986,0.7248376623376623,0.893,0.900974025974026,0.222
logistic_regression,C,unweighted,decision,ner_optimal,test,42,full,12.400145799998427,4453834,0.8160173160210131,0.9944724675043997,0.0004180831664346159,0.0016635397914797068,1207,37730,25,915432,0.030998792921899478,0.9797077922077922,0.06009609400283801,0.17063712370396977,38937,0.04079761607889404,773.7010836478753,0.05987467787950312,57072.527091196884,0.0666470482574017,49230.29290734202,0.08116883116883117,1.0,0.4025974025974026,0.992,0.7175324675324676,0.884,0.8847402597402597,0.218
decision_tree,A,unweighted,none,fixed,val,42,full,117.60397890000604,4453834,0.9958617275666231,0.9987361473258057,1.0916212141967321e-05,0.5,1228,8,4,953152,0.9935275080906149,0.9967532467532467,0.9951377633711507,0.9951327789263803,1236,0.0012950653400279968,773.7010836478753,0.0032551460312933572,3102.804334591501,0.0033557847589364784,2534.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8108766233766234,0.999,0.9967532467532467,0.2456
decision_tree,A,unweighted,none,fixed,test,42,full,117.60397890000604,4453834,0.992817836629492,0.9982481156975891,1.1343975372751053e-05,0.5,1225,4,7,953158,0.9967453213995118,0.9943181818181818,0.995530272247054,0.9955252435842747,1229,0.0012877281290536193,773.7010836478753,0.0056860145740882375,5419.9075855351275,0.003791845772632651,2800.929417387069,0.08116883116883117,1.0,0.4042207792207792,0.996,0.810064935064935,0.998,0.9943181818181818,0.245
decision_tree,B,unweighted,decision,youden,val,42,full,117.60397890000604,4453834,0.9958617275666231,0.9987361473258057,1.0916212141967321e-05,0.7605633735656738,1228,8,4,953152,0.9935275080906149,0.9967532467532467,0.9951377633711507,0.9951327789263803,1236,0.0012950653400279968,773.7010836478753,0.0032551460312933572,3102.804334591501,0.0033557847589364784,2534.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8108766233766234,0.999,0.9967532467532467,0.2456
decision_tree,B,unweighted,decision,youden,test,42,full,117.60397890000604,4453834,0.992817836629492,0.9982481156975891,1.1343975372751053e-05,0.7605633735656738,1225,4,7,953158,0.9967453213995118,0.9943181818181818,0.995530272247054,0.9955252435842747,1229,0.0012877281290536193,773.7010836478753,0.0056860145740882375,5419.9075855351275,0.003791845772632651,2800.929417387069,0.08116883116883117,1.0,0.4042207792207792,0.996,0.810064935064935,0.998,0.9943181818181818,0.245
decision_tree,C,unweighted,decision,ner_optimal,val,42,full,117.60397890000604,4453834,0.9958617275666231,0.9987361473258057,1.0916212141967321e-05,0.7605633735656738,1228,8,4,953152,0.9935275080906149,0.9967532467532467,0.9951377633711507,0.9951327789263803,1236,0.0012950653400279968,773.7010836478753,0.0032551460312933572,3102.804334591501,0.0033557847589364784,2534.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8108766233766234,0.999,0.9967532467532467,0.2456
decision_tree,C,unweighted,decision,ner_optimal,test,42,full,117.60397890000604,4453834,0.992817836629492,0.9982481156975891,1.1343975372751053e-05,0.7605633735656738,1225,4,7,953158,0.9967453213995118,0.9943181818181818,0.995530272247054,0.9955252435842747,1229,0.0012877281290536193,773.7010836478753,0.0056860145740882375,5419.9075855351275,0.003791845772632651,2800.929417387069,0.08116883116883117,1.0,0.4042207792207792,0.996,0.810064935064935,0.998,0.9943181818181818,0.245
random_forest,A,unweighted,none,fixed,val,42,full,226.40232839999953,4453834,0.9970231101603307,0.999093226399896,9.94067898358575e-06,0.5,1228,0,4,953160,1.0,0.9967532467532467,0.9983739837398374,0.9983732086894213,1228,0.0012866830400925407,773.7010836478753,0.003246753246753247,3094.804334591501,0.0033451941257325937,2526.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9967532467532467,0.2456
random_forest,A,unweighted,none,fixed,test,42,full,226.40232839999953,4453834,0.9962617369407095,0.9989275485515239,1.1431709091459837e-05,0.5,1227,0,5,953162,1.0,0.9959415584415584,0.9979666531110207,0.9979660986528147,1227,0.0012856325584611806,773.7010836478753,0.004058441558441558,3868.5054182393765,0.0032134907957788897,2373.7149246316817,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9967532467532467,0.2456
random_forest,B,unweighted,decision,youden,val,42,full,226.40232839999953,4453834,0.9970231101603307,0.999093226399896,9.94067898358575e-06,0.6514381170272827,1228,0,4,953160,1.0,0.9967532467532467,0.9983739837398374,0.9983732086894213,1228,0.0012866830400925407,773.7010836478753,0.003246753246753247,3094.804334591501,0.0033451941257325937,2526.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9967532467532467,0.2456
random_forest,B,unweighted,decision,youden,test,42,full,226.40232839999953,4453834,0.9962617369407095,0.9989275485515239,1.1431709091459837e-05,0.6514381170272827,1225,0,7,953162,1.0,0.9943181818181818,0.9971509971509972,0.9971513825000433,1225,0.001283536987868742,773.7010836478753,0.005681818181818182,5415.9075855351275,0.0034900102123648163,2577.97201071472,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9967532467532467,0.2456
random_forest,C,unweighted,decision,ner_optimal,val,42,full,226.40232839999953,4453834,0.9970231101603307,0.999093226399896,9.94067898358575e-06,0.6514381170272827,1228,0,4,953160,1.0,0.9967532467532467,0.9983739837398374,0.9983732086894213,1228,0.0012866830400925407,773.7010836478753,0.003246753246753247,3094.804334591501,0.0033451941257325937,2526.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9967532467532467,0.2456
random_forest,C,unweighted,decision,ner_optimal,test,42,full,226.40232839999953,4453834,0.9962617369407095,0.9989275485515239,1.1431709091459837e-05,0.6514381170272827,1225,0,7,953162,1.0,0.9943181818181818,0.9971509971509972,0.9971513825000433,1225,0.001283536987868742,773.7010836478753,0.005681818181818182,5415.9075855351275,0.0034900102123648163,2577.97201071472,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9967532467532467,0.2456
xgboost,A,unweighted,none,fixed,val,42,full,155.43084830002044,4453834,0.9972449792292991,0.9988732540645389,4.229217113348347e-06,0.5,1228,0,4,953160,1.0,0.9967532467532467,0.9983739837398374,0.9983732086894213,1228,0.0012866830400925407,773.7010836478753,0.003246753246753247,3094.804334591501,0.0033451941257325937,2526.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9983766233766234,0.246
xgboost,A,unweighted,none,fixed,test,42,full,155.43084830002044,4453834,0.9976538559094231,0.9995860343795689,5.905609840439004e-06,0.5,1227,1,5,953161,0.999185667752443,0.9959415584415584,0.9975609756097561,0.9975591503501777,1228,0.0012866803437574,773.7010836478753,0.004059490656509073,3869.5054182393765,0.0032148445770448847,2374.7149246316817,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.997564935064935,0.2458
xgboost,B,unweighted,decision,youden,val,42,full,155.43084830002044,4453834,0.9972449792292991,0.9988732540645389,4.229217113348347e-06,0.9370900392532349,1228,0,4,953160,1.0,0.9967532467532467,0.9983739837398374,0.9983732086894213,1228,0.0012866830400925407,773.7010836478753,0.003246753246753247,3094.804334591501,0.0033451941257325937,2526.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9983766233766234,0.246
xgboost,B,unweighted,decision,youden,test,42,full,155.43084830002044,4453834,0.9976538559094231,0.9995860343795689,5.905609840439004e-06,0.9370900392532349,1227,0,5,953162,1.0,0.9959415584415584,0.9979666531110207,0.9979660986528147,1227,0.0012856325584611806,773.7010836478753,0.004058441558441558,3868.5054182393765,0.0032134907957788897,2373.7149246316817,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.997564935064935,0.2458
xgboost,C,unweighted,decision,ner_optimal,val,42,full,155.43084830002044,4453834,0.9972449792292991,0.9988732540645389,4.229217113348347e-06,0.9370900392532349,1228,0,4,953160,1.0,0.9967532467532467,0.9983739837398374,0.9983732086894213,1228,0.0012866830400925407,773.7010836478753,0.003246753246753247,3094.804334591501,0.0033451941257325937,2526.907739193961,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.9983766233766234,0.246
xgboost,C,unweighted,decision,ner_optimal,test,42,full,155.43084830002044,4453834,0.9976538559094231,0.9995860343795689,5.905609840439004e-06,0.9370900392532349,1227,0,5,953162,1.0,0.9959415584415584,0.9979666531110207,0.9979660986528147,1227,0.0012856325584611806,773.7010836478753,0.004058441558441558,3868.5054182393765,0.0032134907957788897,2373.7149246316817,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8116883116883117,1.0,0.997564935064935,0.2458
logistic_regression,A,unweighted,none,fixed,val,42,no_error_features,16.036368300003232,4453834,0.7772002250069149,0.9924259830458685,0.00046047266747501733,0.5,764,29,468,953131,0.9634300126103404,0.6201298701298701,0.7545679012345679,0.7727341641764949,793,0.0008308954811021048,773.7010836478753,0.37990055371408765,362121.1071472055,0.3132964626321087,236659.2868250335,0.08035714285714286,0.99,0.400974025974026,0.988,0.7012987012987013,0.864,0.8506493506493507,0.2096
logistic_regression,A,unweighted,none,fixed,test,42,no_error_features,16.036368300003232,4453834,0.7671946124756107,0.9915851297282916,0.0004816592743337808,0.5,736,21,496,953141,0.9722589167767504,0.5974025974025974,0.7400703871292107,0.7619041117256451,757,0.0007931734692380715,773.7010836478753,0.4026194336568203,383776.73748934607,0.33573033309613,247994.51841239497,0.08116883116883117,1.0,0.40584415584415584,1.0,0.685064935064935,0.844,0.8425324675324676,0.2076
logistic_regression,B,unweighted,decision,youden,val,42,no_error_features,16.036368300003232,4453834,0.7772002250069149,0.9924259830458685,0.00046047266747501733,0.002953277202323079,1151,27584,81,925576,0.04005568122498695,0.9342532467532467,0.07681783294957786,0.1902202352421495,28735,0.030108173580667065,773.7010836478753,0.09468507434105364,90253.78777547789,0.08505971528790393,64252.7891584074,0.08035714285714286,0.99,0.400974025974026,0.988,0.7012987012987013,0.864,0.8506493506493507,0.2096
logistic_regression,B,unweighted,decision,youden,test,42,no_error_features,16.036368300003232,4453834,0.7671946124756107,0.9915851297282916,0.0004816592743337808,0.002953277202323079,1140,27456,92,925706,0.03986571548468317,0.9253246753246753,0.07643824594340888,0.18881552045735053,28596,0.029962468330689423,773.7010836478753,0.1034793612169833,98636.4996956045,0.09385904110536901,69331.02375027395,0.08116883116883117,1.0,0.40584415584415584,1.0,0.685064935064935,0.844,0.8425324675324676,0.2076
logistic_regression,C,unweighted,decision,ner_optimal,val,42,no_error_features,16.036368300003232,4453834,0.7772002250069149,0.9924259830458685,0.00046047266747501733,0.002953277202323079,1151,27584,81,925576,0.04005568122498695,0.9342532467532467,0.07681783294957786,0.1902202352421495,28735,0.030108173580667065,773.7010836478753,0.09468507434105364,90253.78777547789,0.08505971528790393,64252.7891584074,0.08035714285714286,0.99,0.400974025974026,0.988,0.7012987012987013,0.864,0.8506493506493507,0.2096
logistic_regression,C,unweighted,decision,ner_optimal,test,42,no_error_features,16.036368300003232,4453834,0.7671946124756107,0.9915851297282916,0.0004816592743337808,0.002953277202323079,1140,27456,92,925706,0.03986571548468317,0.9253246753246753,0.07643824594340888,0.18881552045735053,28596,0.029962468330689423,773.7010836478753,0.1034793612169833,98636.4996956045,0.09385904110536901,69331.02375027395,0.08116883116883117,1.0,0.40584415584415584,1.0,0.685064935064935,0.844,0.8425324675324676,0.2076
decision_tree,A,unweighted,none,fixed,val,42,no_error_features,93.98374589998275,4453834,0.7868047637075122,0.9774895355769435,0.0003703327439606803,0.5,873,39,359,953121,0.9572368421052632,0.7086038961038961,0.8143656716417911,0.8234050060902124,912,0.0009555821926420171,773.7010836478753,0.2914370187207369,277797.6890295872,0.24019170549995383,181437.0875666626,0.08116883116883117,1.0,0.4025974025974026,0.992,0.7329545454545454,0.903,0.8246753246753247,0.2032
decision_tree,A,unweighted,none,fixed,test,42,no_error_features,93.98374589998275,4453834,0.7608193196665555,0.9734424820931626,0.00039876696765312153,0.5,851,36,381,953126,0.9594137542277339,0.6907467532467533,0.8032090608777726,0.8138794184768401,887,0.000929385557746591,773.7010836478753,0.3092910142836772,294816.11286984046,0.2526544602869836,186628.71664227446,0.08116883116883117,1.0,0.4042207792207792,0.996,0.7256493506493507,0.894,0.799512987012987,0.197
decision_tree,B,unweighted,decision,youden,val,42,no_error_features,93.98374589998275,4453834,0.7868047637075122,0.9774895355769435,0.0003703327439606803,0.005112830549478531,1094,18376,138,934784,0.056189008731381614,0.887987012987013,0.10569027147135543,0.22064363583440993,19470,0.02040042246791675,773.7010836478753,0.13129121310162042,125146.74954340678,0.11789379217719939,89055.1413934007,0.08116883116883117,1.0,0.4025974025974026,0.992,0.7329545454545454,0.903,0.8246753246753247,0.2032
decision_tree,B,unweighted,decision,youden,test,42,no_error_features,93.98374589998275,4453834,0.7608193196665555,0.9734424820931626,0.00039876696765312153,0.005112830549478531,1070,18076,162,935086,0.05588634701765382,0.8685064935064936,0.10501521248405143,0.2175561039969513,19146,0.02006089728141627,773.7010836478753,0.15045700316188576,143415.57555095578,0.13698607231971854,101187.74410653842,0.08116883116883117,1.0,0.4042207792207792,0.996,0.7256493506493507,0.894,0.799512987012987,0.197
decision_tree,C,unweighted,decision,ner_optimal,val,42,no_error_features,93.98374589998275,4453834,0.7868047637075122,0.9774895355769435,0.0003703327439606803,0.005112830549478531,1094,18376,138,934784,0.056189008731381614,0.887987012987013,0.10569027147135543,0.22064363583440993,19470,0.02040042246791675,773.7010836478753,0.13129121310162042,125146.74954340678,0.11789379217719939,89055.1413934007,0.08116883116883117,1.0,0.4025974025974026,0.992,0.7329545454545454,0.903,0.8246753246753247,0.2032
decision_tree,C,unweighted,decision,ner_optimal,test,42,no_error_features,93.98374589998275,4453834,0.7608193196665555,0.9734424820931626,0.00039876696765312153,0.005112830549478531,1070,18076,162,935086,0.05588634701765382,0.8685064935064936,0.10501521248405143,0.2175561039969513,19146,0.02006089728141627,773.7010836478753,0.15045700316188576,143415.57555095578,0.13698607231971854,101187.74410653842,0.08116883116883117,1.0,0.4042207792207792,0.996,0.7256493506493507,0.894,0.799512987012987,0.197
random_forest,A,unweighted,none,fixed,val,42,no_error_features,242.17234930000268,4453834,0.9223504746295268,0.9992891174394345,0.0002454123011813711,0.5,979,12,253,953148,0.987891019172553,0.7946428571428571,0.880791722896986,0.8858878242120509,991,0.001038357404504648,773.7010836478753,0.205369732033953,195758.37416291243,0.15486273013914423,116980.90352696943,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8011363636363636,0.987,0.9691558441558441,0.2388
random_forest,A,unweighted,none,fixed,test,42,no_error_features,242.17234930000268,4453834,0.9148527645492422,0.9989337467354386,0.00027661849068325056,0.5,933,8,299,953154,0.9914984059511158,0.7573051948051948,0.8587206626783249,0.8663839135747778,941,0.0009859659637424375,773.7010836478753,0.2427031979793453,231344.6240107147,0.182615245133995,134892.7258199196,0.08116883116883117,1.0,0.40584415584415584,1.0,0.7897727272727273,0.973,0.9715909090909091,0.2394
random_forest,B,unweighted,decision,youden,val,42,no_error_features,242.17234930000268,4453834,0.9223504746295268,0.9992891174394345,0.0002454123011813711,0.0033598437439650297,1223,11691,9,941469,0.09470342264209385,0.9926948051948052,0.17291107026721333,0.3046976155411312,12914,0.013531127670810317,773.7010836478753,0.019570200312498533,18654.30975283088,0.021480004409385994,16225.662051260197,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8011363636363636,0.987,0.9691558441558441,0.2388
random_forest,B,unweighted,decision,youden,test,42,no_error_features,242.17234930000268,4453834,0.9148527645492422,0.9989337467354386,0.00027661849068325056,0.0033598437439650297,1225,11645,7,941517,0.09518259518259518,0.9943181818181818,0.17373422209615658,0.30573128002199096,12870,0.013484996762343434,773.7010836478753,0.017898565178016274,17060.907585535126,0.019642339206908846,14509.241411664434,0.08116883116883117,1.0,0.40584415584415584,1.0,0.7897727272727273,0.973,0.9715909090909091,0.2394
random_forest,C,unweighted,decision,ner_optimal,val,42,no_error_features,242.17234930000268,4453834,0.9223504746295268,0.9992891174394345,0.0002454123011813711,0.0033598437439650297,1223,11691,9,941469,0.09470342264209385,0.9926948051948052,0.17291107026721333,0.3046976155411312,12914,0.013531127670810317,773.7010836478753,0.019570200312498533,18654.30975283088,0.021480004409385994,16225.662051260197,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8011363636363636,0.987,0.9691558441558441,0.2388
random_forest,C,unweighted,decision,ner_optimal,test,42,no_error_features,242.17234930000268,4453834,0.9148527645492422,0.9989337467354386,0.00027661849068325056,0.0033598437439650297,1225,11645,7,941517,0.09518259518259518,0.9943181818181818,0.17373422209615658,0.30573128002199096,12870,0.013484996762343434,773.7010836478753,0.017898565178016274,17060.907585535126,0.019642339206908846,14509.241411664434,0.08116883116883117,1.0,0.40584415584415584,1.0,0.7897727272727273,0.973,0.9715909090909091,0.2394
xgboost,A,unweighted,none,fixed,val,42,no_error_features,153.43323639998562,4453834,0.9682848800897055,0.9997781188567297,0.00015273867090648995,0.5,1078,29,154,953131,0.973803071364047,0.875,0.9217614365113296,0.9229879256905217,1107,0.0011599007535687642,773.7010836478753,0.12503042384395788,119178.96688177278,0.09370894780611819,70786.28520284915,0.08116883116883117,1.0,0.4050324675324675,0.998,0.8068181818181818,0.994,0.9959415584415584,0.2454
xgboost,A,unweighted,none,fixed,test,42,no_error_features,153.43323639998562,4453834,0.967568639399133,0.999016007540398,0.00016725603503869223,0.5,1055,24,177,953138,0.9777571825764597,0.8563311688311688,0.9130246646473388,0.9149318789712791,1079,0.0011305603346207123,773.7010836478753,0.14369400952245148,136969.0918056739,0.1070371255928778,79065.30270546695,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8068181818181818,0.994,0.9935064935064936,0.2448
xgboost,B,unweighted,decision,youden,val,42,no_error_features,153.43323639998562,4453834,0.9682848800897055,0.9997781188567297,0.00015273867090648995,0.004650717601180077,1227,2789,5,950371,0.30552788844621515,0.9959415584415584,0.46760670731707316,0.5508073212814613,4016,0.004207914567599058,773.7010836478753,0.0069843760687375205,6657.505418239376,0.007522847201328886,5682.6420528430535,0.08116883116883117,1.0,0.4050324675324675,0.998,0.8068181818181818,0.994,0.9959415584415584,0.2454
xgboost,B,unweighted,decision,youden,test,42,no_error_features,153.43323639998562,4453834,0.967568639399133,0.999016007540398,0.00016725603503869223,0.004650717601180077,1224,2787,8,950375,0.3051608077786088,0.9935064935064936,0.466908258630555,0.5497987178332261,4011,0.004202666823135938,773.7010836478753,0.009417342807667428,8976.608669183002,0.009274048903135742,6850.4780913186405,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8068181818181818,0.994,0.9935064935064936,0.2448
xgboost,C,unweighted,decision,ner_optimal,val,42,no_error_features,153.43323639998562,4453834,0.9682848800897055,0.9997781188567297,0.00015273867090648995,0.004650717601180077,1227,2789,5,950371,0.30552788844621515,0.9959415584415584,0.46760670731707316,0.5508073212814613,4016,0.004207914567599058,773.7010836478753,0.0069843760687375205,6657.505418239376,0.007522847201328886,5682.6420528430535,0.08116883116883117,1.0,0.4050324675324675,0.998,0.8068181818181818,0.994,0.9959415584415584,0.2454
xgboost,C,unweighted,decision,ner_optimal,test,42,no_error_features,153.43323639998562,4453834,0.967568639399133,0.999016007540398,0.00016725603503869223,0.004650717601180077,1224,2787,8,950375,0.3051608077786088,0.9935064935064936,0.466908258630555,0.5497987178332261,4011,0.004202666823135938,773.7010836478753,0.009417342807667428,8976.608669183002,0.009274048903135742,6850.4780913186405,0.08116883116883117,1.0,0.40584415584415584,1.0,0.8068181818181818,0.994,0.9935064935064936,0.2448
